#Error on normalization	O = 2.271 %	H = 2.354 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	4.5496e-16	5.1692e-16
1.5773e+11	2.1498e-16	5.3362e-16
3.1546e+11	-1.0218e-16	5.6386e-16
4.7319e+11	6.4506e-17	5.7715e-16
6.3091e+11	5.1286e-16	5.8205e-16
7.8864e+11	5.6206e-16	6.2801e-16
9.4637e+11	1.536e-16	7.4514e-16
1.1041e+12	3.9906e-17	8.8986e-16
1.2618e+12	6.6315e-16	9.7379e-16
1.4196e+12	1.3972e-15	9.6171e-16
1.5773e+12	1.4111e-15	9.2797e-16
1.735e+12	9.5058e-16	9.8709e-16
1.8927e+12	1.0322e-15	1.1586e-15
2.0505e+12	1.8521e-15	1.3253e-15
2.2082e+12	2.3408e-15	1.357e-15
2.3659e+12	1.8095e-15	1.2702e-15
2.5237e+12	1.3661e-15	1.2265e-15
2.6814e+12	2.6531e-15	1.3471e-15
2.8391e+12	5.2937e-15	1.5608e-15
2.9968e+12	6.9297e-15	1.6915e-15
3.1546e+12	6.6809e-15	1.7098e-15
3.3123e+12	7.6748e-15	1.8368e-15
3.47e+12	1.436e-14	2.325e-15
3.6278e+12	2.6686e-14	3.1232e-15
3.7855e+12	3.8133e-14	3.8192e-15
3.9432e+12	4.0973e-14	3.9777e-15
4.1009e+12	3.366e-14	3.5446e-15
4.2587e+12	2.2279e-14	2.8929e-15
4.4164e+12	1.4559e-14	2.4695e-15
4.5741e+12	1.3252e-14	2.4283e-15
4.7319e+12	1.5668e-14	2.6118e-15
4.8896e+12	1.8396e-14	2.8245e-15
5.0473e+12	2.0836e-14	3.0404e-15
5.205e+12	2.4218e-14	3.3406e-15
5.3628e+12	2.9051e-14	3.7368e-15
5.5205e+12	3.4869e-14	4.1372e-15
5.6782e+12	4.1427e-14	4.4607e-15
5.836e+12	4.8152e-14	4.693e-15
5.9937e+12	5.2378e-14	4.7998e-15
6.1514e+12	5.0491e-14	4.6775e-15
6.3091e+12	4.2842e-14	4.3022e-15
6.4669e+12	3.6604e-14	3.9236e-15
6.6246e+12	4.0931e-14	3.9845e-15
6.7823e+12	5.7861e-14	4.7296e-15
6.9401e+12	7.9316e-14	5.8974e-15
7.0978e+12	9.4835e-14	6.8881e-15
7.2555e+12	1.0183e-13	7.2826e-15
7.4132e+12	1.0632e-13	7.1696e-15
7.571e+12	1.1332e-13	6.9396e-15
7.7287e+12	1.1904e-13	6.8198e-15
7.8864e+12	1.1511e-13	6.692e-15
8.0442e+12	9.9584e-14	6.3457e-15
8.2019e+12	8.074e-14	5.7852e-15
