#Error on normalization	O = 0.785 %	H = 2.745 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	1.9956e-16	4.4118e-17
8.0043e+10	-5.0813e-17	4.0069e-17
1.6009e+11	-1.128e-16	8.076e-17
2.4013e+11	2.4073e-16	1.5774e-16
3.2017e+11	1.3951e-16	1.7923e-16
4.0021e+11	-8.9257e-17	1.9776e-16
4.8026e+11	2.2592e-16	2.7263e-16
5.603e+11	3.0686e-16	3.0968e-16
6.4034e+11	-1.0978e-17	3.1308e-16
7.2038e+11	2.107e-16	3.7095e-16
8.0043e+11	5.0435e-16	3.8227e-16
8.8047e+11	1.5103e-16	2.9207e-16
9.6051e+11	1.3638e-16	2.918e-16
1.0406e+12	6.4723e-16	4.1308e-16
1.1206e+12	5.367e-16	4.6049e-16
1.2006e+12	2.8661e-16	4.4352e-16
1.2807e+12	7.273e-16	4.8197e-16
1.3607e+12	8.1426e-16	5.059e-16
1.4408e+12	4.0499e-16	4.8047e-16
1.5208e+12	6.9119e-16	4.8408e-16
1.6009e+12	9.9885e-16	4.7339e-16
1.6809e+12	6.3194e-16	4.3904e-16
1.7609e+12	9.5564e-16	4.9317e-16
1.841e+12	1.6432e-15	5.4741e-16
1.921e+12	1.1053e-15	4.8096e-16
2.0011e+12	8.1656e-16	4.7888e-16
2.0811e+12	1.7663e-15	5.9864e-16
2.1612e+12	1.6749e-15	6.0222e-16
2.2412e+12	1.0961e-15	5.4166e-16
2.3212e+12	2.412e-15	6.0204e-16
2.4013e+12	2.9796e-15	5.9271e-16
2.4813e+12	1.3281e-15	5.0749e-16
2.5614e+12	1.97e-15	6.9158e-16
2.6414e+12	4.2832e-15	9.1552e-16
2.7215e+12	2.9344e-15	7.3114e-16
2.8015e+12	1.6987e-15	5.6611e-16
2.8815e+12	5.3757e-15	8.2453e-16
2.9616e+12	7.3053e-15	9.8145e-16
3.0416e+12	5.5368e-15	8.8792e-16
3.1217e+12	8.2299e-15	1.0436e-15
3.2017e+12	1.0722e-14	1.1001e-15
3.2818e+12	3.2045e-15	5.8621e-16
3.3618e+12	-1.0071e-15	4.3496e-16
3.4418e+12	1.2266e-14	1.2706e-15
3.5219e+12	2.8254e-14	2.0674e-15
3.6019e+12	3.5603e-14	2.3984e-15
3.682e+12	4.7391e-14	3.0847e-15
3.762e+12	6.0353e-14	3.7504e-15
3.842e+12	5.0572e-14	3.1996e-15
3.9221e+12	2.472e-14	2.0028e-15
4.0021e+12	1.3484e-14	1.5271e-15
4.0822e+12	1.7675e-14	1.616e-15
4.1622e+12	1.6998e-14	1.5121e-15
4.2423e+12	1.1554e-14	1.2848e-15
4.3223e+12	1.1356e-14	1.1963e-15
4.4023e+12	1.3084e-14	1.2478e-15
4.4824e+12	1.2057e-14	1.3673e-15
4.5624e+12	1.1787e-14	1.3401e-15
4.6425e+12	1.5167e-14	1.301e-15
4.7225e+12	2.099e-14	1.7694e-15
4.8026e+12	2.5375e-14	2.4158e-15
4.8826e+12	2.6503e-14	2.4784e-15
4.9626e+12	2.9824e-14	2.397e-15
5.0427e+12	3.662e-14	2.7338e-15
5.1227e+12	4.004e-14	2.9227e-15
5.2028e+12	4.7262e-14	3.1387e-15
5.2828e+12	6.918e-14	4.2528e-15
5.3629e+12	8.2442e-14	5.0483e-15
5.4429e+12	6.1821e-14	3.9738e-15
5.5229e+12	3.5283e-14	2.6648e-15
5.603e+12	3.5058e-14	2.8657e-15
5.683e+12	3.9935e-14	3.1226e-15
5.7631e+12	3.2303e-14	2.5795e-15
5.8431e+12	3.4416e-14	2.7818e-15
