#Error on normalization	O = 2.379 %	H = -0.806 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.5891e-15	2.8785e-16
5.6433e+10	2.1154e-15	1.9299e-16
1.1287e+11	-1.0815e-15	-1.6427e-17
1.693e+11	-3.3432e-15	-1.7579e-16
2.2573e+11	-2.7825e-15	-1.6379e-16
2.8217e+11	1.4812e-16	7.8058e-19
3.386e+11	3.0267e-15	1.7682e-16
3.9503e+11	3.4678e-15	2.1781e-16
4.5147e+11	1.105e-15	9.1787e-17
5.079e+11	-2.0947e-15	-9.3932e-17
5.6433e+11	-3.4549e-15	-1.8279e-16
6.2077e+11	-1.8117e-15	-9.9221e-17
6.772e+11	1.5062e-15	8.8528e-17
7.3363e+11	3.7642e-15	2.2485e-16
7.9007e+11	3.0856e-15	1.9591e-16
8.465e+11	2.1598e-17	2.4711e-17
9.0293e+11	-2.8838e-15	-1.4695e-16
9.5937e+11	-3.1919e-15	-1.753e-16
1.0158e+12	-6.0076e-16	-3.4072e-17
1.0722e+12	2.7798e-15	1.6245e-16
1.1287e+12	4.1579e-15	2.5285e-16
1.1851e+12	2.3779e-15	1.6208e-16
1.2415e+12	-1.096e-15	-3.5267e-17
1.298e+12	-3.3691e-15	-1.7538e-16
1.3544e+12	-2.516e-15	-1.4049e-16
1.4108e+12	7.9311e-16	4.2379e-17
1.4673e+12	3.813e-15	2.22e-16
1.5237e+12	3.9928e-15	2.476e-16
1.5801e+12	1.1303e-15	9.5464e-17
1.6366e+12	-2.3977e-15	-1.0815e-16
1.693e+12	-3.5692e-15	-1.8923e-16
1.7494e+12	-1.2482e-15	-7.0994e-17
1.8059e+12	2.7908e-15	1.5848e-16
1.8623e+12	5.2516e-15	3.1446e-16
1.9187e+12	4.0296e-15	2.6677e-16
1.9752e+12	2.4995e-17	5.0361e-17
2.0316e+12	-3.4934e-15	-1.581e-16
2.088e+12	-3.5242e-15	-1.8227e-16
2.1445e+12	1.5777e-16	7.5331e-18
2.2009e+12	4.7163e-15	2.6521e-16
2.2573e+12	6.5101e-15	3.8519e-16
2.3138e+12	4.1009e-15	2.7208e-16
2.3702e+12	-4.6832e-16	2.4245e-17
2.4266e+12	-3.2624e-15	-1.4188e-16
2.4831e+12	-1.6992e-15	-6.9838e-17
2.5395e+12	3.1979e-15	2.0111e-16
2.5959e+12	7.4854e-15	4.5876e-16
2.6524e+12	7.504e-15	4.8836e-16
2.7088e+12	3.0465e-15	2.557e-16
2.7652e+12	-2.1973e-15	-5.0878e-17
2.8217e+12	-3.4925e-15	-1.6451e-16
2.8781e+12	9.5074e-16	3.8112e-17
2.9345e+12	8.1583e-15	4.1968e-16
2.991e+12	1.2549e-14	6.8145e-16
3.0474e+12	1.0744e-14	6.2039e-16
3.1038e+12	5.3454e-15	3.4769e-16
3.1603e+12	4.3878e-15	2.7957e-16
3.2167e+12	1.6182e-14	8.7037e-16
3.2731e+12	4.2822e-14	2.2564e-15
3.3296e+12	7.7006e-14	4.0669e-15
3.386e+12	1.0486e-13	5.5611e-15
3.4424e+12	1.134e-13	6.0307e-15
3.4989e+12	9.8081e-14	5.218e-15
3.5553e+12	6.5512e-14	3.4769e-15
3.6117e+12	2.9689e-14	1.5723e-15
3.6682e+12	4.2008e-15	2.4737e-16
3.7246e+12	-4.695e-15	-1.6582e-16
3.781e+12	-6.7587e-17	1.4203e-16
3.8375e+12	9.2329e-15	6.6223e-16
3.8939e+12	1.4778e-14	9.2602e-16
3.9503e+12	1.3269e-14	7.737e-16
4.0068e+12	7.1603e-15	3.813e-16
4.0632e+12	1.6308e-15	7.0317e-17
4.1196e+12	5.7075e-16	6.3142e-17
4.1761e+12	4.391e-15	3.5614e-16
4.2325e+12	1.0688e-14	7.739e-16
4.2889e+12	1.6689e-14	1.134e-15
4.3454e+12	2.1422e-14	1.3871e-15
4.4018e+12	2.6175e-14	1.6373e-15
4.4582e+12	3.3231e-14	2.0449e-15
4.5147e+12	4.4031e-14	2.6941e-15
4.5711e+12	5.799e-14	3.5177e-15
4.6275e+12	7.2517e-14	4.3189e-15
4.684e+12	8.3995e-14	4.8621e-15
4.7404e+12	8.9124e-14	4.9754e-15
4.7968e+12	8.6112e-14	4.6156e-15
4.8533e+12	7.5417e-14	3.8796e-15
4.9097e+12	5.9818e-14	2.9682e-15
4.9661e+12	4.3608e-14	2.1197e-15
5.0226e+12	3.1015e-14	1.5293e-15
5.079e+12	2.4429e-14	1.2792e-15
5.1354e+12	2.3435e-14	1.3137e-15
5.1919e+12	2.5399e-14	1.4811e-15
5.2483e+12	2.7421e-14	1.6312e-15
5.3047e+12	2.8456e-14	1.714e-15
5.3612e+12	3.0076e-14	1.8138e-15
5.4176e+12	3.5205e-14	2.0853e-15
5.474e+12	4.5667e-14	2.6317e-15
5.5305e+12	6.0392e-14	3.4101e-15
5.5869e+12	7.5787e-14	4.2418e-15
5.6433e+12	8.8151e-14	4.9277e-15
5.6998e+12	9.6368e-14	5.3876e-15
5.7562e+12	1.0268e-13	5.713e-15
5.8126e+12	1.1078e-13	6.0853e-15
5.8691e+12	1.2247e-13	6.6152e-15
5.9255e+12	1.3565e-13	7.2286e-15
5.9819e+12	1.4524e-13	7.6972e-15
6.0384e+12	1.4687e-13	7.8042e-15
6.0948e+12	1.4042e-13	7.5234e-15
6.1512e+12	1.3083e-13	7.0676e-15
6.2077e+12	1.2508e-13	6.7567e-15
6.2641e+12	1.275e-13	6.791e-15
6.3205e+12	1.3671e-13	7.1013e-15
6.377e+12	1.4663e-13	7.3942e-15
6.4334e+12	1.5092e-13	7.3695e-15
6.4898e+12	1.4755e-13	6.9502e-15
6.5463e+12	1.4011e-13	6.3471e-15
6.6027e+12	1.3479e-13	5.9028e-15
6.6591e+12	1.3526e-13	5.8253e-15
6.7156e+12	1.3938e-13	6.0134e-15
6.772e+12	1.4037e-13	6.1133e-15
6.8284e+12	1.3163e-13	5.7705e-15
6.8849e+12	1.1173e-13	4.8966e-15
6.9413e+12	8.5904e-14	3.7487e-15
6.9977e+12	6.2792e-14	2.7618e-15
7.0542e+12	4.8951e-14	2.2558e-15
7.1106e+12	4.4995e-14	2.231e-15
7.167e+12	4.6075e-14	2.4001e-15
7.2235e+12	4.6034e-14	2.4212e-15
7.2799e+12	4.1928e-14	2.1526e-15
7.3363e+12	3.5549e-14	1.7356e-15
7.3928e+12	3.1075e-14	1.4542e-15
7.4492e+12	3.1043e-14	1.4897e-15
7.5056e+12	3.4031e-14	1.7695e-15
7.5621e+12	3.5898e-14	2.0262e-15
7.6185e+12	3.3469e-14	2.0157e-15
7.6749e+12	2.7533e-14	1.7192e-15
7.7314e+12	2.2604e-14	1.3664e-15
7.7878e+12	2.3505e-14	1.2626e-15
7.8442e+12	3.1478e-14	1.5541e-15
7.9007e+12	4.2928e-14	2.1164e-15
7.9571e+12	5.19e-14	2.6476e-15
8.0135e+12	5.4422e-14	2.8934e-15
8.07e+12	5.1407e-14	2.8293e-15
8.1264e+12	4.7888e-14	2.6638e-15
8.1828e+12	4.9253e-14	2.6722e-15
8.2393e+12	5.7404e-14	2.9971e-15
8.2957e+12	6.9742e-14	3.5686e-15
8.3521e+12	8.1581e-14	4.1942e-15
8.4086e+12	8.9925e-14	4.7297e-15
8.465e+12	9.5555e-14	5.1844e-15
8.5214e+12	1.0189e-13	5.6789e-15
8.5779e+12	1.1172e-13	6.3021e-15
8.6343e+12	1.2464e-13	6.9998e-15
8.6907e+12	1.3727e-13	7.5954e-15
8.7472e+12	1.4597e-13	7.9282e-15
8.8036e+12	1.4977e-13	7.9869e-15
8.86e+12	1.5083e-13	7.9187e-15
8.9165e+12	1.5207e-13	7.8954e-15
8.9729e+12	1.5405e-13	7.9482e-15
9.0293e+12	1.5377e-13	7.9159e-15
9.0858e+12	1.4691e-13	7.5674e-15
9.1422e+12	1.3181e-13	6.8125e-15
9.1986e+12	1.1214e-13	5.8307e-15
9.2551e+12	9.5601e-14	4.9996e-15
9.3115e+12	8.941e-14	4.6559e-15
9.3679e+12	9.5405e-14	4.86e-15
9.4244e+12	1.0858e-13	5.3456e-15
9.4808e+12	1.2022e-13	5.7005e-15
9.5372e+12	1.2353e-13	5.6549e-15
9.5937e+12	1.1792e-13	5.2642e-15
9.6501e+12	1.0881e-13	4.8532e-15
9.7065e+12	1.0342e-13	4.763e-15
9.763e+12	1.0553e-13	5.0911e-15
9.8194e+12	1.1301e-13	5.616e-15
9.8758e+12	1.1969e-13	5.9576e-15
9.9323e+12	1.1984e-13	5.847e-15
9.9887e+12	1.1193e-13	5.3038e-15
1.0045e+13	9.9099e-14	4.5977e-15
1.0102e+13	8.6369e-14	4.0379e-15
1.0158e+13	7.7113e-14	3.7623e-15
1.0214e+13	7.1441e-14	3.6828e-15
1.0271e+13	6.7413e-14	3.6119e-15
1.0327e+13	6.3618e-14	3.4507e-15
1.0384e+13	6.0719e-14	3.2763e-15
1.044e+13	6.0671e-14	3.2596e-15
1.0497e+13	6.4454e-14	3.4913e-15
1.0553e+13	7.0471e-14	3.8682e-15
1.0609e+13	7.52e-14	4.1469e-15
1.0666e+13	7.5719e-14	4.1269e-15
1.0722e+13	7.2072e-14	3.8167e-15
1.0779e+13	6.7439e-14	3.4441e-15
1.0835e+13	6.5842e-14	3.2938e-15
1.0892e+13	6.9096e-14	3.4941e-15
1.0948e+13	7.5413e-14	3.9193e-15
1.1005e+13	8.0775e-14	4.2862e-15
1.1061e+13	8.1981e-14	4.3695e-15
1.1117e+13	7.8996e-14	4.1705e-15
1.1174e+13	7.4776e-14	3.9091e-15
1.123e+13	7.2792e-14	3.8462e-15
1.1287e+13	7.431e-14	4.0792e-15
1.1343e+13	7.7588e-14	4.4669e-15
1.14e+13	7.9576e-14	4.7418e-15
1.1456e+13	7.8607e-14	4.7166e-15
1.1512e+13	7.5793e-14	4.4258e-15
1.1569e+13	7.3966e-14	4.0939e-15
1.1625e+13	7.5095e-14	3.9641e-15
1.1682e+13	7.8438e-14	4.1249e-15
1.1738e+13	8.1143e-14	4.4682e-15
1.1795e+13	8.091e-14	4.802e-15
1.1851e+13	7.8532e-14	5.0179e-15
1.1907e+13	7.8005e-14	5.1719e-15
1.1964e+13	8.3788e-14	5.4175e-15
1.202e+13	9.7115e-14	5.8503e-15
1.2077e+13	1.1425e-13	6.3972e-15
1.2133e+13	1.2826e-13	6.8464e-15
1.219e+13	1.3326e-13	6.9947e-15
1.2246e+13	1.2812e-13	6.7958e-15
1.2302e+13	1.1696e-13	6.3887e-15
1.2359e+13	1.0603e-13	5.9862e-15
1.2415e+13	9.9382e-14	5.7146e-15
1.2472e+13	9.6489e-14	5.5366e-15
1.2528e+13	9.3594e-14	5.3176e-15
1.2585e+13	8.7543e-14	4.9791e-15
1.2641e+13	7.9037e-14	4.6056e-15
1.2698e+13	7.2652e-14	4.4106e-15
1.2754e+13	7.3486e-14	4.5768e-15
1.281e+13	8.296e-14	5.0955e-15
1.2867e+13	9.7035e-14	5.7341e-15
1.2923e+13	1.0835e-13	6.168e-15
1.298e+13	1.1087e-13	6.1868e-15
1.3036e+13	1.0374e-13	5.8258e-15
1.3093e+13	9.1641e-14	5.3297e-15
1.3149e+13	8.1439e-14	4.9775e-15
1.3205e+13	7.7587e-14	4.8998e-15
1.3262e+13	7.9543e-14	5.0156e-15
1.3318e+13	8.2809e-14	5.1226e-15
1.3375e+13	8.2573e-14	5.0599e-15
1.3431e+13	7.7138e-14	4.8173e-15
1.3488e+13	6.8729e-14	4.5181e-15
1.3544e+13	6.1395e-14	4.305e-15
1.36e+13	5.7841e-14	4.2294e-15
1.3657e+13	5.7684e-14	4.2314e-15
1.3713e+13	5.8239e-14	4.212e-15
1.377e+13	5.6978e-14	4.1278e-15
1.3826e+13	5.3526e-14	4.0211e-15
1.3883e+13	4.9669e-14	3.9654e-15
1.3939e+13	4.7509e-14	3.9783e-15
1.3995e+13	4.7431e-14	3.9857e-15
1.4052e+13	4.7608e-14	3.8739e-15
