#Error on normalization	O = 2.333 %	H = 1.950 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	6.0249e-16	4.2964e-16
1.5106e+11	-2.0521e-16	5.3832e-16
3.0211e+11	-7.0128e-17	6.9279e-16
4.5317e+11	1.9029e-15	8.4113e-16
6.0423e+11	3.162e-15	1.1441e-15
7.5529e+11	5.3307e-15	1.4169e-15
9.0634e+11	9.2839e-15	1.5401e-15
1.0574e+12	1.1588e-14	1.8538e-15
1.2085e+12	1.4254e-14	2.3555e-15
1.3595e+12	2.0128e-14	2.6271e-15
1.5106e+12	2.3938e-14	2.7635e-15
1.6616e+12	2.848e-14	3.2098e-15
1.8127e+12	4.6637e-14	4.0608e-15
1.9637e+12	7.1609e-14	5.1529e-15
2.1148e+12	8.2225e-14	6.1213e-15
2.2659e+12	7.9943e-14	6.5051e-15
2.4169e+12	7.8407e-14	6.3994e-15
2.568e+12	7.5106e-14	6.2751e-15
2.719e+12	7.1115e-14	6.195e-15
2.8701e+12	8.0281e-14	6.1692e-15
3.0211e+12	9.7307e-14	6.5848e-15
3.1722e+12	1.0743e-13	7.6247e-15
3.3233e+12	1.2095e-13	9.0499e-15
3.4743e+12	1.4329e-13	1.0224e-14
3.6254e+12	1.4857e-13	1.0132e-14
3.7764e+12	1.3124e-13	8.8621e-15
3.9275e+12	1.2241e-13	8.1929e-15
4.0785e+12	1.2687e-13	8.6956e-15
4.2296e+12	1.1864e-13	8.7322e-15
4.3807e+12	1.0005e-13	7.8896e-15
4.5317e+12	9.3152e-14	7.514e-15
4.6828e+12	9.7423e-14	7.6647e-15
4.8338e+12	1.0665e-13	7.8438e-15
4.9849e+12	1.2043e-13	8.7065e-15
5.136e+12	1.2275e-13	9.6913e-15
5.287e+12	1.0854e-13	9.3307e-15
5.4381e+12	1.0977e-13	9.0164e-15
5.5891e+12	1.3781e-13	1.0504e-14
5.7402e+12	1.5389e-13	1.1619e-14
5.8912e+12	1.3865e-13	1.0524e-14
6.0423e+12	1.1896e-13	9.4503e-15
6.1934e+12	1.1111e-13	9.7608e-15
6.3444e+12	1.093e-13	9.9228e-15
6.4955e+12	1.1436e-13	9.791e-15
6.6465e+12	1.201e-13	1.0201e-14
6.7976e+12	1.129e-13	1.0286e-14
6.9486e+12	1.0595e-13	1.0007e-14
7.0997e+12	1.1583e-13	1.0649e-14
7.2508e+12	1.2254e-13	1.1285e-14
7.4018e+12	1.1196e-13	1.0563e-14
7.5529e+12	1.0709e-13	9.9611e-15
7.7039e+12	1.1282e-13	1.0467e-14
7.855e+12	1.0406e-13	1.0753e-14
8.006e+12	8.6326e-14	1.0694e-14
8.1571e+12	8.6154e-14	1.1076e-14
8.3082e+12	9.3247e-14	1.1172e-14
8.4592e+12	8.5581e-14	1.0868e-14
8.6103e+12	7.4685e-14	1.1115e-14
8.7613e+12	7.3974e-14	1.1222e-14
8.9124e+12	7.3188e-14	1.0696e-14
9.0634e+12	6.8008e-14	1.0905e-14
9.2145e+12	6.4879e-14	1.1335e-14
9.3656e+12	6.0673e-14	1.0267e-14
9.5166e+12	5.3857e-14	9.3662e-15
9.6677e+12	5.1143e-14	1.041e-14
9.8187e+12	4.8966e-14	1.1361e-14
9.9698e+12	4.1491e-14	1.1282e-14
1.0121e+13	3.733e-14	1.1781e-14
1.0272e+13	3.9422e-14	1.1955e-14
1.0423e+13	3.6438e-14	1.0663e-14
1.0574e+13	2.8805e-14	1.0478e-14
1.0725e+13	2.6675e-14	1.2117e-14
1.0876e+13	2.6283e-14	1.2639e-14
1.1027e+13	2.2055e-14	1.2237e-14
1.1178e+13	2.1057e-14	1.3034e-14
1.1329e+13	2.4054e-14	1.3495e-14
1.148e+13	2.2846e-14	1.273e-14
1.1631e+13	2.0077e-14	1.3054e-14
1.1782e+13	2.12e-14	1.3999e-14
1.1934e+13	2.0404e-14	1.3754e-14
1.2085e+13	1.602e-14	1.4549e-14
1.2236e+13	1.5045e-14	1.7122e-14
1.2387e+13	1.5707e-14	1.7885e-14
1.2538e+13	1.2885e-14	1.7081e-14
1.2689e+13	1.144e-14	1.8054e-14
1.284e+13	1.3005e-14	1.9231e-14
1.2991e+13	1.103e-14	1.8571e-14
1.3142e+13	7.8129e-15	1.8728e-14
1.3293e+13	9.9667e-15	1.9908e-14
1.3444e+13	1.2272e-14	1.9319e-14
1.3595e+13	9.4556e-15	1.8812e-14
1.3746e+13	7.3173e-15	2.0624e-14
1.3897e+13	8.1728e-15	2.1721e-14
1.4048e+13	7.4385e-15	2.1301e-14
1.4199e+13	6.433e-15	2.2195e-14
1.435e+13	7.9153e-15	2.3037e-14
1.4502e+13	8.0741e-15	2.2436e-14
1.4653e+13	6.1269e-15	2.4114e-14
1.4804e+13	6.3045e-15	2.727e-14
1.4955e+13	7.4518e-15	2.6108e-14
1.5106e+13	6.5591e-15	2.2944e-14
1.5257e+13	5.9657e-15	2.3773e-14
1.5408e+13	6.4152e-15	2.5662e-14
1.5559e+13	5.3772e-15	2.5338e-14
1.571e+13	4.4445e-15	2.6922e-14
1.5861e+13	5.4315e-15	3.0131e-14
1.6012e+13	5.333e-15	2.9696e-14
1.6163e+13	3.8252e-15	2.8454e-14
1.6314e+13	4.1496e-15	3.0908e-14
1.6465e+13	5.0348e-15	3.1685e-14
1.6616e+13	4.1413e-15	2.7666e-14
1.6767e+13	3.7944e-15	2.6252e-14
1.6918e+13	4.6675e-15	3.0387e-14
1.7069e+13	4.2875e-15	3.3555e-14
1.7221e+13	3.7886e-15	3.3094e-14
1.7372e+13	4.8119e-15	3.195e-14
1.7523e+13	4.7288e-15	3.0724e-14
1.7674e+13	3.1581e-15	2.933e-14
1.7825e+13	3.2982e-15	2.9049e-14
1.7976e+13	4.2754e-15	2.8637e-14
1.8127e+13	3.4026e-15	2.6485e-14
1.8278e+13	2.5193e-15	2.4604e-14
1.8429e+13	3.2616e-15	2.4739e-14
1.858e+13	3.6749e-15	2.609e-14
1.8731e+13	3.3545e-15	2.8019e-14
1.8882e+13	3.4173e-15	2.9101e-14
1.9033e+13	3.0946e-15	2.7064e-14
1.9184e+13	2.4916e-15	2.3759e-14
1.9335e+13	3.0036e-15	2.3675e-14
1.9486e+13	3.4822e-15	2.6423e-14
1.9637e+13	2.7891e-15	2.7627e-14
1.9789e+13	2.6387e-15	2.6034e-14
1.994e+13	3.1397e-15	2.4588e-14
2.0091e+13	2.5647e-15	2.572e-14
2.0242e+13	2.1147e-15	2.7724e-14
2.0393e+13	3.0492e-15	2.6924e-14
2.0544e+13	3.1728e-15	2.4042e-14
2.0695e+13	1.9785e-15	2.3504e-14
2.0846e+13	1.8927e-15	2.4972e-14
2.0997e+13	2.6216e-15	2.4333e-14
2.1148e+13	2.3716e-15	2.2686e-14
2.1299e+13	2.0809e-15	2.3268e-14
2.145e+13	2.3923e-15	2.378e-14
2.1601e+13	2.1348e-15	2.2373e-14
2.1752e+13	1.8506e-15	2.2411e-14
2.1903e+13	2.4068e-15	2.409e-14
2.2054e+13	2.4753e-15	2.3359e-14
2.2205e+13	1.9439e-15	2.0927e-14
2.2356e+13	2.2922e-15	2.0165e-14
2.2508e+13	2.6909e-15	2.0448e-14
2.2659e+13	2.065e-15	2.1175e-14
2.281e+13	1.8896e-15	2.3146e-14
2.2961e+13	2.3989e-15	2.3492e-14
2.3112e+13	2.037e-15	2.0432e-14
2.3263e+13	1.5904e-15	1.8465e-14
2.3414e+13	2.1857e-15	1.9716e-14
2.3565e+13	2.2945e-15	2.0602e-14
2.3716e+13	1.6021e-15	2.0785e-14
2.3867e+13	1.799e-15	2.2016e-14
2.4018e+13	2.23e-15	2.1428e-14
2.4169e+13	1.6194e-15	1.8308e-14
2.432e+13	1.4292e-15	1.7818e-14
2.4471e+13	2.2222e-15	2.0495e-14
2.4622e+13	2.2959e-15	2.1558e-14
2.4773e+13	1.8556e-15	2.1116e-14
2.4924e+13	2.107e-15	2.1538e-14
2.5076e+13	2.1324e-15	2.0964e-14
2.5227e+13	1.607e-15	1.9145e-14
2.5378e+13	1.7829e-15	1.9153e-14
2.5529e+13	2.0924e-15	2.0089e-14
2.568e+13	1.5408e-15	1.937e-14
2.5831e+13	1.3665e-15	1.8463e-14
2.5982e+13	1.85e-15	1.802e-14
2.6133e+13	1.5194e-15	1.626e-14
2.6284e+13	9.8551e-16	1.4854e-14
2.6435e+13	1.4997e-15	1.5864e-14
2.6586e+13	1.7935e-15	1.6486e-14
2.6737e+13	1.2286e-15	1.5231e-14
2.6888e+13	1.2147e-15	1.4702e-14
2.7039e+13	1.5241e-15	1.4845e-14
2.719e+13	1.0902e-15	1.392e-14
2.7341e+13	9.4297e-16	1.359e-14
2.7492e+13	1.5422e-15	1.4449e-14
2.7644e+13	1.5147e-15	1.3991e-14
2.7795e+13	1.095e-15	1.2828e-14
2.7946e+13	1.3831e-15	1.3184e-14
2.8097e+13	1.4908e-15	1.3427e-14
2.8248e+13	9.6971e-16	1.2542e-14
2.8399e+13	1.0473e-15	1.2696e-14
2.855e+13	1.4431e-15	1.323e-14
2.8701e+13	1.0981e-15	1.2037e-14
2.8852e+13	8.8868e-16	1.1206e-14
2.9003e+13	1.2842e-15	1.2062e-14
2.9154e+13	1.1186e-15	1.1615e-14
2.9305e+13	6.4879e-16	9.715e-15
2.9456e+13	9.2184e-16	9.6931e-15
2.9607e+13	1.1451e-15	1.1088e-14
2.9758e+13	8.1498e-16	1.132e-14
2.9909e+13	9.1149e-16	1.0692e-14
3.006e+13	1.1626e-15	9.6904e-15
3.0211e+13	7.4914e-16	8.1659e-15
3.0363e+13	5.932e-16	7.8232e-15
3.0514e+13	1.0348e-15	8.706e-15
3.0665e+13	8.6319e-16	8.0085e-15
3.0816e+13	3.8419e-16	6.4156e-15
3.0967e+13	6.9153e-16	6.9523e-15
3.1118e+13	9.5679e-16	7.9622e-15
3.1269e+13	5.815e-16	6.9345e-15
3.142e+13	6.1024e-16	6.2525e-15
3.1571e+13	9.4545e-16	7.3325e-15
3.1722e+13	6.5864e-16	7.3986e-15
3.1873e+13	4.1908e-16	5.9968e-15
3.2024e+13	7.1522e-16	5.5116e-15
3.2175e+13	6.4146e-16	5.7476e-15
3.2326e+13	3.5301e-16	5.5032e-15
3.2477e+13	6.5056e-16	5.5385e-15
3.2628e+13	8.2644e-16	5.9473e-15
3.2779e+13	4.7898e-16	5.86e-15
3.2931e+13	5.3326e-16	5.7257e-15
3.3082e+13	7.9579e-16	5.6757e-15
3.3233e+13	4.8179e-16	4.924e-15
3.3384e+13	3.3399e-16	4.317e-15
3.3535e+13	7.2771e-16	4.8098e-15
3.3686e+13	6.6684e-16	5.1112e-15
3.3837e+13	3.2947e-16	4.6675e-15
3.3988e+13	5.9318e-16	4.7492e-15
3.4139e+13	7.8459e-16	5.1261e-15
3.429e+13	4.3806e-16	4.7362e-15
3.4441e+13	4.4359e-16	4.2626e-15
3.4592e+13	6.9021e-16	4.1785e-15
3.4743e+13	4.1435e-16	3.8383e-15
3.4894e+13	2.6331e-16	3.7109e-15
3.5045e+13	6.1335e-16	4.2176e-15
3.5196e+13	5.4906e-16	4.195e-15
3.5347e+13	2.1732e-16	3.655e-15
3.5498e+13	4.5737e-16	3.9107e-15
3.565e+13	6.6654e-16	4.3335e-15
3.5801e+13	3.8223e-16	3.9035e-15
3.5952e+13	4.1281e-16	3.7257e-15
3.6103e+13	6.7025e-16	4.1775e-15
3.6254e+13	4.3659e-16	3.9915e-15
3.6405e+13	2.9919e-16	3.5241e-15
3.6556e+13	6.3195e-16	3.8151e-15
3.6707e+13	5.9417e-16	3.9531e-15
3.6858e+13	2.7981e-16	3.4264e-15
3.7009e+13	4.4757e-16	3.3105e-15
3.716e+13	5.8746e-16	3.4985e-15
3.7311e+13	3.1931e-16	3.2852e-15
3.7462e+13	3.7221e-16	3.4142e-15
3.7613e+13	6.1924e-16	3.9673e-15
3.7764e+13	4.0358e-16	3.8195e-15
3.7915e+13	2.9967e-16	3.4731e-15
3.8066e+13	6.2889e-16	3.9033e-15
3.8218e+13	5.8358e-16	4.0749e-15
3.8369e+13	2.9456e-16	3.4374e-15
3.852e+13	4.9422e-16	3.22e-15
3.8671e+13	6.4902e-16	3.4903e-15
3.8822e+13	3.7429e-16	3.4248e-15
3.8973e+13	4.149e-16	3.5905e-15
3.9124e+13	6.8877e-16	4.173e-15
3.9275e+13	5.1515e-16	4.0716e-15
3.9426e+13	3.7543e-16	3.568e-15
3.9577e+13	6.2763e-16	3.7737e-15
3.9728e+13	6.0342e-16	4.1094e-15
3.9879e+13	4.0023e-16	3.9388e-15
4.003e+13	5.9191e-16	3.9409e-15
4.0181e+13	6.5923e-16	4.0176e-15
4.0332e+13	3.549e-16	3.5495e-15
4.0483e+13	4.3009e-16	3.2987e-15
4.0634e+13	7.1844e-16	3.7805e-15
4.0785e+13	5.3169e-16	4.0619e-15
4.0937e+13	3.9098e-16	3.8881e-15
4.1088e+13	6.5894e-16	3.8825e-15
4.1239e+13	6.4426e-16	3.8963e-15
4.139e+13	4.2201e-16	3.7445e-15
4.1541e+13	5.8644e-16	3.8281e-15
4.1692e+13	6.8492e-16	4.0431e-15
4.1843e+13	4.6433e-16	4.164e-15
4.1994e+13	5.5503e-16	4.3688e-15
4.2145e+13	7.5422e-16	4.3342e-15
4.2296e+13	5.3123e-16	4.0896e-15
4.2447e+13	4.9882e-16	4.6404e-15
4.2598e+13	8.4631e-16	5.4095e-15
4.2749e+13	7.4648e-16	4.7887e-15
4.29e+13	4.7031e-16	4.1232e-15
4.3051e+13	7.8584e-16	5.3275e-15
4.3202e+13	9.9903e-16	6.2557e-15
4.3353e+13	6.2911e-16	5.0375e-15
4.3505e+13	5.8291e-16	4.3289e-15
4.3656e+13	9.3033e-16	5.6053e-15
4.3807e+13	8.6068e-16	6.3174e-15
4.3958e+13	7.275e-16	5.8805e-15
4.4109e+13	1.0031e-15	6.332e-15
4.426e+13	1.0493e-15	7.1498e-15
4.4411e+13	8.2096e-16	6.86e-15
4.4562e+13	9.6013e-16	6.5927e-15
4.4713e+13	1.1133e-15	7.0128e-15
4.4864e+13	9.1967e-16	7.0631e-15
4.5015e+13	1.0335e-15	7.3734e-15
4.5166e+13	1.4299e-15	8.8805e-15
4.5317e+13	1.3567e-15	9.7971e-15
4.5468e+13	1.1358e-15	9.1494e-15
4.5619e+13	1.3511e-15	9.1333e-15
4.577e+13	1.5635e-15	1.0619e-14
4.5921e+13	1.532e-15	1.1508e-14
4.6073e+13	1.5741e-15	1.0912e-14
4.6224e+13	1.5455e-15	1.0452e-14
4.6375e+13	1.4568e-15	1.1438e-14
4.6526e+13	1.758e-15	1.3229e-14
4.6677e+13	2.0292e-15	1.3943e-14
4.6828e+13	1.677e-15	1.2971e-14
4.6979e+13	1.4578e-15	1.2682e-14
4.713e+13	1.9658e-15	1.5112e-14
4.7281e+13	2.3921e-15	1.8049e-14
4.7432e+13	2.33e-15	1.8401e-14
4.7583e+13	2.375e-15	1.7528e-14
4.7734e+13	2.6515e-15	1.8904e-14
