#Error on normalization	O = -2.376 %	H = 0.734 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	2.3429e-16	2.8171e-15
1.5023e+11	1.7867e-17	2.9283e-15
3.0045e+11	1.0701e-17	3.0252e-15
4.5068e+11	3.7297e-16	2.9628e-15
6.009e+11	2.4335e-16	3.0106e-15
7.5113e+11	5.1372e-17	3.2088e-15
9.0135e+11	6.2414e-16	3.3259e-15
1.0516e+12	1.1483e-15	3.3264e-15
1.2018e+12	1.041e-15	3.2039e-15
1.352e+12	1.0871e-15	2.9732e-15
1.5023e+12	1.6117e-15	2.9776e-15
1.6525e+12	2.3701e-15	3.3151e-15
1.8027e+12	3.0635e-15	3.4726e-15
1.9529e+12	3.0926e-15	3.3406e-15
2.1032e+12	3.7969e-15	3.4596e-15
2.2534e+12	7.931e-15	3.8177e-15
2.4036e+12	1.3256e-14	3.9129e-15
2.5538e+12	1.4408e-14	3.8939e-15
2.7041e+12	1.3634e-14	4.124e-15
2.8543e+12	1.7345e-14	4.3294e-15
3.0045e+12	2.2428e-14	4.348e-15
3.1547e+12	2.1812e-14	4.5182e-15
3.305e+12	1.9206e-14	4.7491e-15
3.4552e+12	2.1139e-14	4.6523e-15
3.6054e+12	2.3077e-14	4.4996e-15
3.7556e+12	1.9791e-14	4.6354e-15
3.9059e+12	1.6952e-14	4.6614e-15
4.0561e+12	1.8824e-14	4.3896e-15
4.2063e+12	1.976e-14	4.4451e-15
4.3565e+12	1.7624e-14	5.0306e-15
4.5068e+12	1.8811e-14	5.4104e-15
4.657e+12	2.4427e-14	5.228e-15
4.8072e+12	2.8536e-14	5.1017e-15
4.9574e+12	3.14e-14	5.5188e-15
5.1077e+12	3.7669e-14	6.1272e-15
5.2579e+12	4.3923e-14	6.3916e-15
5.4081e+12	4.4283e-14	6.2657e-15
5.5583e+12	4.292e-14	6.0466e-15
5.7086e+12	4.6151e-14	6.0168e-15
5.8588e+12	5.0686e-14	6.314e-15
6.009e+12	5.227e-14	6.8331e-15
6.1592e+12	5.4274e-14	7.2595e-15
6.3095e+12	5.8944e-14	7.4457e-15
6.4597e+12	6.424e-14	7.6069e-15
6.6099e+12	7.1349e-14	7.9177e-15
6.7601e+12	7.9295e-14	8.1992e-15
6.9104e+12	7.9642e-14	8.2214e-15
7.0606e+12	7.3024e-14	7.974e-15
7.2108e+12	7.228e-14	7.5446e-15
7.361e+12	7.5766e-14	7.1466e-15
7.5113e+12	6.8747e-14	7.1947e-15
7.6615e+12	5.8422e-14	7.7949e-15
7.8117e+12	6.4657e-14	8.2957e-15
7.9619e+12	7.7094e-14	8.0334e-15
8.1122e+12	7.0957e-14	7.3991e-15
8.2624e+12	5.3703e-14	7.3158e-15
8.4126e+12	4.7117e-14	7.7605e-15
8.5628e+12	4.727e-14	7.9487e-15
8.7131e+12	4.3948e-14	7.9034e-15
8.8633e+12	4.468e-14	8.2753e-15
9.0135e+12	5.0689e-14	8.6865e-15
9.1637e+12	5.0009e-14	8.2458e-15
9.314e+12	4.5241e-14	7.5249e-15
9.4642e+12	4.7206e-14	7.7564e-15
9.6144e+12	5.0212e-14	8.5733e-15
9.7646e+12	4.8623e-14	8.8746e-15
9.9149e+12	5.1656e-14	8.8938e-15
1.0065e+13	5.8566e-14	9.2115e-15
1.0215e+13	5.6989e-14	9.2755e-15
1.0366e+13	5.3213e-14	8.7712e-15
1.0516e+13	6.1389e-14	8.5939e-15
1.0666e+13	7.1676e-14	9.135e-15
1.0816e+13	6.9304e-14	9.493e-15
1.0966e+13	6.3006e-14	9.1489e-15
1.1117e+13	6.3178e-14	8.8125e-15
1.1267e+13	6.247e-14	9.1732e-15
1.1417e+13	5.7473e-14	9.8255e-15
1.1567e+13	5.7126e-14	9.8606e-15
1.1718e+13	6.2191e-14	9.2707e-15
1.1868e+13	6.4392e-14	9.0509e-15
1.2018e+13	6.3297e-14	9.5214e-15
1.2168e+13	6.3907e-14	9.7774e-15
1.2318e+13	6.5556e-14	9.5119e-15
1.2469e+13	6.4731e-14	9.5682e-15
1.2619e+13	6.1218e-14	1.0007e-14
1.2769e+13	5.7542e-14	9.8541e-15
1.2919e+13	5.5655e-14	9.1607e-15
1.307e+13	5.4112e-14	9.1145e-15
1.322e+13	5.1414e-14	1.0014e-14
1.337e+13	5.1378e-14	1.0821e-14
1.352e+13	5.5789e-14	1.0647e-14
1.3671e+13	5.6795e-14	9.8751e-15
1.3821e+13	5.0385e-14	9.6985e-15
1.3971e+13	4.6716e-14	1.0365e-14
1.4121e+13	5.2668e-14	1.0673e-14
1.4271e+13	5.9395e-14	1.0117e-14
