#Error on normalization	O = 1.485 %	H = 2.540 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.0907e-14	7.7636e-15
1.7036e+11	3.0447e-14	7.559e-15
3.4072e+11	3.2022e-14	7.7589e-15
5.1107e+11	3.6656e-14	8.3012e-15
6.8143e+11	3.6828e-14	7.8074e-15
8.5179e+11	2.9467e-14	7.2177e-15
1.0221e+12	2.5918e-14	7.9142e-15
1.1925e+12	3.3403e-14	8.2972e-15
1.3629e+12	4.0658e-14	7.5548e-15
1.5332e+12	3.976e-14	7.683e-15
1.7036e+12	4.0736e-14	8.8576e-15
1.8739e+12	4.7767e-14	9.4089e-15
2.0443e+12	4.9318e-14	9.7727e-15
2.2147e+12	4.3046e-14	1.0485e-14
2.385e+12	3.9585e-14	1.0357e-14
2.5554e+12	4.0985e-14	1.0067e-14
2.7257e+12	4.3109e-14	1.1153e-14
2.8961e+12	4.7396e-14	1.1768e-14
3.0664e+12	5.1186e-14	1.0402e-14
3.2368e+12	4.8278e-14	9.6158e-15
3.4072e+12	4.4541e-14	1.0564e-14
3.5775e+12	4.7382e-14	1.0763e-14
3.7479e+12	5.0303e-14	9.9612e-15
3.9182e+12	4.9564e-14	1.0305e-14
4.0886e+12	5.1733e-14	1.1319e-14
4.2589e+12	5.4205e-14	1.151e-14
4.4293e+12	5.0264e-14	1.1558e-14
4.5997e+12	4.796e-14	1.1885e-14
4.77e+12	5.2964e-14	1.1946e-14
4.9404e+12	5.5045e-14	1.2396e-14
5.1107e+12	5.2814e-14	1.3418e-14
5.2811e+12	5.6377e-14	1.3573e-14
5.4514e+12	6.0064e-14	1.2989e-14
5.6218e+12	5.3818e-14	1.2957e-14
5.7922e+12	4.9244e-14	1.2664e-14
5.9625e+12	5.6348e-14	1.1556e-14
6.1329e+12	6.1925e-14	1.1648e-14
6.3032e+12	5.7824e-14	1.3263e-14
6.4736e+12	5.4781e-14	1.3844e-14
6.644e+12	5.7014e-14	1.3105e-14
6.8143e+12	5.8192e-14	1.3143e-14
6.9847e+12	5.8177e-14	1.3879e-14
7.155e+12	5.8294e-14	1.4132e-14
7.3254e+12	5.6197e-14	1.4576e-14
7.4957e+12	5.5462e-14	1.5374e-14
7.6661e+12	5.9095e-14	1.5002e-14
7.8365e+12	5.9992e-14	1.3772e-14
8.0068e+12	5.6357e-14	1.3871e-14
8.1772e+12	5.704e-14	1.5218e-14
8.3475e+12	6.1691e-14	1.5733e-14
8.5179e+12	6.1313e-14	1.5282e-14
8.6882e+12	5.717e-14	1.5483e-14
8.8586e+12	5.5546e-14	1.6455e-14
9.029e+12	5.5256e-14	1.6955e-14
9.1993e+12	5.5056e-14	1.6845e-14
9.3697e+12	5.6427e-14	1.6715e-14
9.54e+12	5.6514e-14	1.6119e-14
9.7104e+12	5.4256e-14	1.4811e-14
9.8807e+12	5.4213e-14	1.4299e-14
1.0051e+13	5.5612e-14	1.5437e-14
1.0221e+13	5.4508e-14	1.6527e-14
1.0392e+13	5.4588e-14	1.638e-14
1.0562e+13	5.7682e-14	1.6241e-14
1.0733e+13	5.6996e-14	1.6642e-14
1.0903e+13	5.2712e-14	1.6327e-14
1.1073e+13	5.2855e-14	1.5499e-14
1.1244e+13	5.5422e-14	1.5735e-14
