#Error on normalization	O = 0.114 %	H = 2.892 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-3.0215e-16	6.0524e-16
1.5252e+11	2.2065e-16	6.6084e-16
3.0503e+11	3.5273e-16	6.5403e-16
4.5755e+11	-3.839e-16	5.3327e-16
6.1007e+11	-1.1077e-16	5.5029e-16
7.6258e+11	5.0861e-16	6.5224e-16
9.151e+11	-1.226e-16	6.1922e-16
1.0676e+12	-3.3861e-16	5.8324e-16
1.2201e+12	5.4237e-16	6.4134e-16
1.3726e+12	3.3844e-16	6.233e-16
1.5252e+12	-3.7571e-16	5.8416e-16
1.6777e+12	3.5709e-16	6.7458e-16
1.8302e+12	7.6558e-16	7.2503e-16
1.9827e+12	-9.6206e-17	6.6123e-16
2.1352e+12	2.3439e-16	6.7625e-16
2.2877e+12	1.0763e-15	7.2428e-16
2.4403e+12	1.2543e-16	6.8673e-16
2.5928e+12	-9.512e-17	7.3898e-16
2.7453e+12	1.5859e-15	8.7039e-16
2.8978e+12	1.3327e-15	8.3941e-16
3.0503e+12	3.522e-16	8.1433e-16
3.2028e+12	2.9245e-15	1.0118e-15
3.3554e+12	4.5148e-15	1.1237e-15
3.5079e+12	1.7421e-15	1.0466e-15
3.6604e+12	3.4843e-15	1.166e-15
3.8129e+12	1.2328e-14	1.4337e-15
3.9654e+12	1.7723e-14	1.5537e-15
4.1179e+12	2.1253e-14	1.8687e-15
4.2705e+12	3.2943e-14	2.5314e-15
4.423e+12	3.9023e-14	2.6972e-15
4.5755e+12	2.0888e-14	1.9487e-15
4.728e+12	-1.8849e-15	1.1991e-15
4.8805e+12	-7.3834e-16	1.1599e-15
5.033e+12	1.0574e-14	1.3751e-15
5.1856e+12	6.8809e-15	1.355e-15
5.3381e+12	3.6422e-16	1.325e-15
5.4906e+12	9.8404e-15	1.5467e-15
5.6431e+12	2.1489e-14	1.8372e-15
5.7956e+12	1.8733e-14	1.9296e-15
5.9481e+12	1.0687e-14	1.8522e-15
6.1007e+12	8.1239e-15	1.8118e-15
6.2532e+12	8.3697e-15	1.8551e-15
6.4057e+12	1.0305e-14	1.8668e-15
6.5582e+12	1.4098e-14	1.8293e-15
6.7107e+12	1.3525e-14	1.7892e-15
6.8632e+12	8.4474e-15	1.7523e-15
7.0158e+12	7.7571e-15	1.827e-15
7.1683e+12	1.1337e-14	2.0543e-15
7.3208e+12	1.0825e-14	2.1528e-15
7.4733e+12	7.6262e-15	2.0595e-15
7.6258e+12	9.4842e-15	2.2274e-15
7.7783e+12	1.5114e-14	2.6839e-15
7.9309e+12	1.7462e-14	2.7997e-15
8.0834e+12	1.6102e-14	2.5936e-15
8.2359e+12	1.8439e-14	2.8359e-15
8.3884e+12	2.8942e-14	3.4933e-15
8.5409e+12	3.8333e-14	3.7072e-15
8.6934e+12	3.4011e-14	3.4085e-15
8.846e+12	2.4088e-14	3.3519e-15
8.9985e+12	2.7327e-14	3.648e-15
9.151e+12	3.7955e-14	3.6903e-15
9.3035e+12	3.7971e-14	3.4785e-15
9.456e+12	3.7766e-14	3.7868e-15
9.6085e+12	5.5427e-14	4.785e-15
9.7611e+12	7.4749e-14	5.5997e-15
9.9136e+12	7.7543e-14	5.8063e-15
1.0066e+13	8.1058e-14	6.0173e-15
1.0219e+13	9.2902e-14	6.1895e-15
1.0371e+13	8.6698e-14	5.4106e-15
1.0524e+13	6.4222e-14	4.3255e-15
1.0676e+13	6.4843e-14	4.7707e-15
1.0829e+13	8.6191e-14	6.1668e-15
1.0981e+13	8.486e-14	6.1289e-15
1.1134e+13	6.2776e-14	4.8816e-15
1.1286e+13	5.7799e-14	4.5882e-15
1.1439e+13	6.3156e-14	5.0073e-15
1.1591e+13	4.839e-14	4.4726e-15
1.1744e+13	2.742e-14	3.5219e-15
1.1896e+13	2.6646e-14	3.4326e-15
1.2049e+13	3.1954e-14	3.6315e-15
1.2201e+13	2.5349e-14	3.455e-15
1.2354e+13	1.9807e-14	3.476e-15
1.2506e+13	2.3964e-14	3.7665e-15
1.2659e+13	2.6495e-14	3.8681e-15
1.2811e+13	2.5876e-14	4.1638e-15
1.2964e+13	2.9388e-14	4.7602e-15
1.3116e+13	3.1764e-14	4.7042e-15
1.3269e+13	2.7736e-14	3.9595e-15
1.3421e+13	2.4774e-14	3.6992e-15
1.3574e+13	2.6744e-14	4.0757e-15
1.3726e+13	2.917e-14	4.2954e-15
