#Error on normalization	O = -0.093 %	H = 3.035 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-5.4615e-16	2.8894e-15
1.6349e+11	2.8028e-16	2.6457e-15
3.2698e+11	5.586e-16	2.3997e-15
4.9046e+11	-4.9451e-16	2.5104e-15
6.5395e+11	-1.5443e-16	2.5385e-15
8.1744e+11	6.8967e-16	2.4215e-15
9.8093e+11	-1.8216e-17	2.4984e-15
1.1444e+12	-8.9752e-17	2.5703e-15
1.3079e+12	1.0402e-15	2.4657e-15
1.4714e+12	8.0582e-16	2.527e-15
1.6349e+12	1.6699e-16	2.7472e-15
1.7984e+12	9.1416e-16	2.7903e-15
1.9619e+12	1.3578e-15	2.7592e-15
2.1253e+12	1.4257e-15	2.8307e-15
2.2888e+12	2.3635e-15	2.9372e-15
2.4523e+12	2.4603e-15	3.1517e-15
2.6158e+12	2.1377e-15	3.357e-15
2.7793e+12	3.9665e-15	3.2004e-15
2.9428e+12	5.2194e-15	3.0502e-15
3.1063e+12	4.7543e-15	3.4426e-15
3.2698e+12	8.8675e-15	3.7426e-15
3.4332e+12	1.673e-14	3.367e-15
3.5967e+12	1.9194e-14	3.1672e-15
3.7602e+12	1.7961e-14	3.7226e-15
3.9237e+12	2.0347e-14	4.2248e-15
4.0872e+12	2.1925e-14	4.217e-15
4.2507e+12	1.8914e-14	4.1564e-15
4.4142e+12	1.7526e-14	4.1089e-15
4.5777e+12	1.6645e-14	3.9247e-15
4.7411e+12	1.0927e-14	3.9159e-15
4.9046e+12	8.2122e-15	4.1019e-15
5.0681e+12	1.2594e-14	4.1403e-15
5.2316e+12	1.2639e-14	4.2042e-15
5.3951e+12	9.1593e-15	4.4862e-15
5.5586e+12	1.5394e-14	4.5498e-15
5.7221e+12	2.3419e-14	4.2308e-15
5.8856e+12	1.8369e-14	4.0143e-15
6.049e+12	1.1991e-14	4.1509e-15
6.2125e+12	1.703e-14	4.4825e-15
6.376e+12	2.1364e-14	4.8372e-15
6.5395e+12	1.9174e-14	5.0058e-15
6.703e+12	2.2311e-14	4.9543e-15
6.8665e+12	2.8674e-14	4.9813e-15
7.03e+12	2.6598e-14	5.2066e-15
7.1935e+12	2.2857e-14	5.5215e-15
7.3569e+12	2.8336e-14	5.9311e-15
7.5204e+12	3.7745e-14	6.2193e-15
7.6839e+12	4.385e-14	6.1291e-15
7.8474e+12	4.6024e-14	6.162e-15
8.0109e+12	4.5555e-14	6.7423e-15
8.1744e+12	5.1135e-14	7.1411e-15
8.3379e+12	6.8659e-14	6.8876e-15
8.5014e+12	8.1784e-14	6.7715e-15
8.6649e+12	7.5697e-14	7.1618e-15
8.8283e+12	6.6939e-14	7.4517e-15
8.9918e+12	7.3693e-14	7.553e-15
9.1553e+12	8.3195e-14	7.6807e-15
9.3188e+12	7.8556e-14	7.4376e-15
9.4823e+12	6.6144e-14	6.9543e-15
9.6458e+12	5.8692e-14	7.125e-15
9.8093e+12	5.8375e-14	7.7133e-15
9.9728e+12	6.0396e-14	7.6038e-15
1.0136e+13	5.7889e-14	6.9517e-15
1.03e+13	4.9198e-14	6.7189e-15
1.0463e+13	4.1042e-14	6.8344e-15
1.0627e+13	3.6579e-14	6.6994e-15
1.079e+13	3.2702e-14	6.48e-15
1.0954e+13	3.1222e-14	6.6427e-15
1.1117e+13	3.3168e-14	6.9525e-15
1.1281e+13	3.1047e-14	6.7674e-15
1.1444e+13	2.5282e-14	6.2608e-15
1.1608e+13	2.6821e-14	6.4041e-15
1.1771e+13	3.3194e-14	7.118e-15
1.1935e+13	3.2947e-14	7.1568e-15
1.2098e+13	3.1911e-14	6.7739e-15
1.2262e+13	4.0667e-14	7.5394e-15
1.2425e+13	4.9234e-14	8.7901e-15
1.2589e+13	4.5184e-14	8.4216e-15
1.2752e+13	3.6794e-14	7.0736e-15
1.2916e+13	3.626e-14	6.8644e-15
1.3079e+13	4.1367e-14	7.4987e-15
1.3243e+13	4.5831e-14	7.8034e-15
1.3406e+13	4.9822e-14	8.083e-15
1.3569e+13	5.4104e-14	8.2816e-15
1.3733e+13	5.4729e-14	7.8256e-15
1.3896e+13	4.944e-14	7.6668e-15
1.406e+13	4.5374e-14	8.4633e-15
1.4223e+13	5.0212e-14	8.8346e-15
1.4387e+13	5.7106e-14	8.3408e-15
1.455e+13	5.5493e-14	8.2444e-15
1.4714e+13	5.146e-14	8.49e-15
1.4877e+13	5.3999e-14	8.442e-15
1.5041e+13	5.5276e-14	8.8489e-15
1.5204e+13	4.9494e-14	9.5107e-15
1.5368e+13	4.7003e-14	9.0782e-15
1.5531e+13	5.0737e-14	8.4468e-15
1.5695e+13	5.0387e-14	9.0169e-15
1.5858e+13	4.6117e-14	9.3846e-15
