#Error on normalization	O = 1.851 %	H = 2.509 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.855e-14	6.1424e-15
1.9557e+11	4.2585e-14	6.0109e-15
3.9113e+11	5.3604e-14	6.1113e-15
5.867e+11	6.1441e-14	6.6375e-15
7.8227e+11	5.6909e-14	6.8071e-15
9.7784e+11	5.2675e-14	6.726e-15
1.1734e+12	5.9687e-14	7.3964e-15
1.369e+12	6.3097e-14	8.3402e-15
1.5645e+12	5.5893e-14	8.3147e-15
1.7601e+12	5.5458e-14	8.0601e-15
1.9557e+12	6.3905e-14	8.8754e-15
2.1512e+12	6.4309e-14	9.8587e-15
2.3468e+12	5.9267e-14	9.9672e-15
2.5424e+12	6.1096e-14	1.0195e-14
2.7379e+12	6.2777e-14	1.092e-14
2.9335e+12	5.9377e-14	1.0955e-14
3.1291e+12	6.1737e-14	1.0804e-14
3.3246e+12	6.7872e-14	1.1991e-14
3.5202e+12	6.5744e-14	1.3275e-14
3.7158e+12	6.2429e-14	1.2831e-14
3.9113e+12	6.781e-14	1.2136e-14
4.1069e+12	7.1317e-14	1.2786e-14
4.3025e+12	6.66e-14	1.3342e-14
4.498e+12	6.5427e-14	1.3009e-14
4.6936e+12	7.1389e-14	1.3259e-14
4.8892e+12	7.4541e-14	1.395e-14
5.0847e+12	7.1681e-14	1.3582e-14
5.2803e+12	6.6363e-14	1.3051e-14
5.4759e+12	6.1224e-14	1.3776e-14
5.6714e+12	6.0745e-14	1.4562e-14
5.867e+12	6.5154e-14	1.4461e-14
6.0626e+12	6.7205e-14	1.4732e-14
6.2581e+12	6.6765e-14	1.5497e-14
6.4537e+12	6.9972e-14	1.5354e-14
6.6493e+12	7.2659e-14	1.4888e-14
6.8449e+12	6.9211e-14	1.5641e-14
7.0404e+12	6.7013e-14	1.6566e-14
7.236e+12	7.0254e-14	1.5944e-14
7.4316e+12	7.0376e-14	1.5003e-14
7.6271e+12	6.5086e-14	1.5875e-14
7.8227e+12	6.1603e-14	1.7721e-14
8.0183e+12	6.1225e-14	1.8e-14
8.2138e+12	6.2553e-14	1.6633e-14
8.4094e+12	6.7333e-14	1.6206e-14
8.605e+12	7.0502e-14	1.763e-14
8.8005e+12	6.5439e-14	1.8402e-14
8.9961e+12	5.927e-14	1.7018e-14
9.1917e+12	6.017e-14	1.5904e-14
9.3872e+12	6.1563e-14	1.6996e-14
9.5828e+12	5.769e-14	1.8151e-14
9.7784e+12	5.4722e-14	1.7458e-14
9.9739e+12	5.5556e-14	1.68e-14
1.0169e+13	5.51e-14	1.7791e-14
1.0365e+13	5.205e-14	1.874e-14
1.0561e+13	4.9018e-14	1.8277e-14
1.0756e+13	4.7537e-14	1.7624e-14
1.0952e+13	4.9565e-14	1.7723e-14
1.1147e+13	5.3269e-14	1.7947e-14
1.1343e+13	5.1612e-14	1.8048e-14
1.1538e+13	4.5219e-14	1.8328e-14
1.1734e+13	4.3263e-14	1.8446e-14
1.193e+13	4.6154e-14	1.817e-14
1.2125e+13	4.574e-14	1.8103e-14
1.2321e+13	4.1822e-14	1.8367e-14
1.2516e+13	4.0252e-14	1.8195e-14
1.2712e+13	4.0938e-14	1.7661e-14
1.2907e+13	4.099e-14	1.7994e-14
1.3103e+13	4.0422e-14	1.9426e-14
1.3299e+13	3.8853e-14	2.044e-14
1.3494e+13	3.5582e-14	2.0016e-14
1.369e+13	3.2008e-14	1.9071e-14
1.3885e+13	2.898e-14	1.874e-14
1.4081e+13	2.6977e-14	1.8788e-14
1.4276e+13	2.7727e-14	1.879e-14
1.4472e+13	2.9583e-14	1.9175e-14
1.4668e+13	2.8444e-14	1.9895e-14
1.4863e+13	2.6186e-14	1.9853e-14
1.5059e+13	2.6764e-14	1.8837e-14
1.5254e+13	2.6748e-14	1.829e-14
1.545e+13	2.2768e-14	1.9063e-14
1.5645e+13	1.9875e-14	2.0074e-14
1.5841e+13	2.1284e-14	2.0132e-14
1.6037e+13	2.2231e-14	1.9542e-14
1.6232e+13	2.0408e-14	1.9001e-14
1.6428e+13	1.8817e-14	1.844e-14
1.6623e+13	1.7838e-14	1.7928e-14
1.6819e+13	1.6398e-14	1.8172e-14
1.7014e+13	1.5996e-14	1.9009e-14
1.721e+13	1.6103e-14	1.9055e-14
1.7405e+13	1.4158e-14	1.8022e-14
1.7601e+13	1.1949e-14	1.751e-14
1.7797e+13	1.2256e-14	1.8393e-14
1.7992e+13	1.2697e-14	1.9498e-14
1.8188e+13	1.1312e-14	1.9609e-14
1.8383e+13	1.0782e-14	1.8663e-14
1.8579e+13	1.1728e-14	1.7078e-14
1.8774e+13	1.1123e-14	1.5881e-14
1.897e+13	9.1726e-15	1.6318e-14
