#Error on normalization	O = -0.069 %	H = 2.737 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-9.7629e-17	1.0532e-16
1.9048e+11	7.6836e-17	5.7302e-17
3.8095e+11	1.9087e-16	4.3967e-17
5.7143e+11	-6.0511e-17	1.111e-16
7.619e+11	-1.0359e-16	9.6952e-17
9.5238e+11	2.6622e-16	6.0343e-17
1.1429e+12	2.6729e-16	1.2504e-16
1.3333e+12	-9.4259e-17	1.4656e-16
1.5238e+12	1.5947e-16	9.2844e-17
1.7143e+12	6.2036e-16	1.3956e-16
1.9048e+12	2.2388e-16	2.0941e-16
2.0952e+12	-7.4508e-17	1.6698e-16
2.2857e+12	5.551e-16	1.718e-16
2.4762e+12	5.7218e-16	2.582e-16
2.6667e+12	-5.4292e-17	2.5234e-16
2.8571e+12	7.1133e-16	2.4757e-16
3.0476e+12	1.4959e-15	3.4417e-16
3.2381e+12	3.3149e-16	3.4938e-16
3.4286e+12	7.4734e-16	3.2492e-16
3.619e+12	3.4437e-15	4.8206e-16
3.8095e+12	2.1399e-15	5.6584e-16
4e+12	2.0167e-15	6.3408e-16
4.1905e+12	2.0324e-14	1.5022e-15
4.381e+12	4.9894e-14	2.9457e-15
4.5714e+12	5.505e-14	3.2544e-15
4.7619e+12	2.6533e-14	1.9649e-15
4.9524e+12	4.1981e-16	7.5709e-16
5.1429e+12	7.3237e-16	6.974e-16
5.3333e+12	8.7786e-15	1.0433e-15
5.5238e+12	6.7761e-15	1.1261e-15
5.7143e+12	3.7617e-15	1.1516e-15
5.9048e+12	6.7566e-15	1.2671e-15
6.0952e+12	1.0324e-14	1.4584e-15
6.2857e+12	1.5763e-14	1.8068e-15
6.4762e+12	2.4479e-14	2.0685e-15
6.6667e+12	2.489e-14	1.9103e-15
6.8571e+12	1.3637e-14	1.6327e-15
7.0476e+12	6.1512e-15	1.6623e-15
7.2381e+12	9.4571e-15	1.8403e-15
7.4286e+12	1.5787e-14	2.1393e-15
7.619e+12	2.5958e-14	3.0688e-15
7.8095e+12	4.1941e-14	4.3729e-15
8e+12	4.6678e-14	4.6283e-15
8.1905e+12	3.1191e-14	3.405e-15
8.381e+12	2.1024e-14	2.4783e-15
8.5714e+12	3.7542e-14	3.3292e-15
8.7619e+12	6.1564e-14	4.8361e-15
8.9524e+12	6.9035e-14	5.2999e-15
9.1429e+12	6.9134e-14	5.1482e-15
9.3333e+12	7.841e-14	5.4784e-15
9.5238e+12	9.0846e-14	5.8147e-15
9.7143e+12	9.5873e-14	5.5371e-15
9.9048e+12	9.6088e-14	5.3708e-15
1.0095e+13	9.2851e-14	5.5737e-15
1.0286e+13	8.0312e-14	5.1213e-15
1.0476e+13	6.1032e-14	3.9057e-15
1.0667e+13	4.5793e-14	3.0793e-15
1.0857e+13	3.6582e-14	2.8494e-15
1.1048e+13	2.7941e-14	2.5184e-15
1.1238e+13	2.1178e-14	2.2161e-15
1.1429e+13	2.0579e-14	2.3697e-15
1.1619e+13	2.2578e-14	2.5908e-15
1.181e+13	2.3005e-14	2.6019e-15
1.2e+13	2.5012e-14	2.7721e-15
1.219e+13	2.9158e-14	3.0938e-15
1.2381e+13	3.0065e-14	3.1945e-15
1.2571e+13	2.9534e-14	3.2367e-15
1.2762e+13	3.4177e-14	3.4907e-15
1.2952e+13	3.8983e-14	3.6673e-15
1.3143e+13	3.5887e-14	3.5581e-15
1.3333e+13	3.2709e-14	3.4834e-15
1.3524e+13	3.8501e-14	3.6515e-15
1.3714e+13	4.3388e-14	3.8124e-15
1.3905e+13	3.7966e-14	3.7287e-15
1.4095e+13	3.3107e-14	3.5705e-15
1.4286e+13	3.8728e-14	3.6903e-15
1.4476e+13	4.6011e-14	4.0409e-15
1.4667e+13	4.6146e-14	4.1443e-15
1.4857e+13	4.4107e-14	3.89e-15
1.5048e+13	4.6758e-14	3.7772e-15
1.5238e+13	5.4693e-14	4.038e-15
1.5429e+13	6.4011e-14	4.2998e-15
1.5619e+13	6.7496e-14	4.3083e-15
1.581e+13	6.2721e-14	4.193e-15
1.6e+13	5.7627e-14	4.0784e-15
1.619e+13	5.7653e-14	4.0389e-15
1.6381e+13	5.8133e-14	4.1666e-15
1.6571e+13	5.555e-14	4.3958e-15
1.6762e+13	4.9788e-14	4.524e-15
1.6952e+13	3.9615e-14	4.386e-15
1.7143e+13	3.2381e-14	4.0053e-15
1.7333e+13	3.863e-14	3.7234e-15
1.7524e+13	4.7174e-14	3.7808e-15
1.7714e+13	4.1097e-14	3.8766e-15
1.7905e+13	3.5286e-14	3.9145e-15
1.8095e+13	4.871e-14	4.3691e-15
1.8286e+13	5.9818e-14	4.9637e-15
1.8476e+13	4.6891e-14	4.7602e-15
1.8667e+13	3.5052e-14	4.239e-15
1.8857e+13	4.6995e-14	4.6004e-15
1.9048e+13	5.9248e-14	5.2011e-15
1.9238e+13	5.323e-14	4.9666e-15
1.9429e+13	4.8064e-14	4.8071e-15
1.9619e+13	5.3724e-14	5.388e-15
1.981e+13	5.4855e-14	5.5199e-15
2e+13	5.0412e-14	5.1234e-15
2.019e+13	5.3085e-14	5.5403e-15
2.0381e+13	5.866e-14	6.2056e-15
2.0571e+13	5.8304e-14	5.8579e-15
2.0762e+13	5.832e-14	5.6262e-15
2.0952e+13	6.3004e-14	6.4022e-15
2.1143e+13	6.63e-14	6.6454e-15
2.1333e+13	6.6808e-14	5.9992e-15
2.1524e+13	6.5497e-14	6.1312e-15
2.1714e+13	5.8491e-14	6.858e-15
2.1905e+13	4.9374e-14	6.8036e-15
2.2095e+13	4.8127e-14	6.6522e-15
2.2286e+13	5.1476e-14	7.1629e-15
2.2476e+13	4.796e-14	7.2614e-15
2.2667e+13	3.8553e-14	6.852e-15
2.2857e+13	3.1919e-14	7.0697e-15
2.3048e+13	2.9788e-14	7.4556e-15
2.3238e+13	2.9297e-14	7.2761e-15
