#Error on normalization	O = 1.880 %	H = 2.926 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	2.1089e-15	3.8287e-15
5.0518e+10	1.1883e-15	3.9262e-15
1.0104e+11	-3.9167e-16	4.0631e-15
1.5155e+11	-6.7737e-16	3.9733e-15
2.0207e+11	4.6605e-16	3.6298e-15
2.5259e+11	1.3022e-15	3.3063e-15
3.0311e+11	7.0969e-16	3.2793e-15
3.5362e+11	-2.8678e-16	3.5374e-15
4.0414e+11	-4.5202e-17	3.8317e-15
4.5466e+11	1.3075e-15	3.9653e-15
5.0518e+11	2.0287e-15	3.9559e-15
5.557e+11	1.2526e-15	3.9198e-15
6.0621e+11	2.8467e-16	3.8918e-15
6.5673e+11	8.0136e-16	3.8271e-15
7.0725e+11	2.4394e-15	3.7368e-15
7.5777e+11	3.208e-15	3.7208e-15
8.0828e+11	2.2491e-15	3.8393e-15
8.588e+11	1.1116e-15	4.0205e-15
9.0932e+11	1.6758e-15	4.1606e-15
9.5984e+11	3.5392e-15	4.2794e-15
1.0104e+12	4.5272e-15	4.4958e-15
1.0609e+12	3.6921e-15	4.8302e-15
1.1114e+12	2.6318e-15	5.1071e-15
1.1619e+12	3.2261e-15	5.1284e-15
1.2124e+12	4.9307e-15	4.9192e-15
1.2629e+12	5.5257e-15	4.7267e-15
1.3135e+12	4.3977e-15	4.7457e-15
1.364e+12	3.6866e-15	4.9062e-15
1.4145e+12	5.41e-15	4.9877e-15
1.465e+12	8.4382e-15	4.9136e-15
1.5155e+12	9.8143e-15	4.8494e-15
1.5661e+12	9.0232e-15	4.9819e-15
1.6166e+12	9.264e-15	5.2671e-15
1.6671e+12	1.3288e-14	5.469e-15
1.7176e+12	1.8881e-14	5.441e-15
1.7681e+12	2.045e-14	5.2998e-15
1.8186e+12	1.5747e-14	5.2905e-15
1.8692e+12	9.6211e-15	5.5206e-15
1.9197e+12	9.4892e-15	5.875e-15
1.9702e+12	1.7152e-14	6.1696e-15
2.0207e+12	2.6442e-14	6.3228e-15
2.0712e+12	2.9611e-14	6.3603e-15
2.1217e+12	2.5204e-14	6.3216e-15
2.1723e+12	1.8768e-14	6.2349e-15
2.2228e+12	1.6418e-14	6.1719e-15
2.2733e+12	1.9155e-14	6.2422e-15
2.3238e+12	2.3688e-14	6.4734e-15
2.3743e+12	2.7078e-14	6.7248e-15
2.4249e+12	2.8903e-14	6.7892e-15
2.4754e+12	2.9358e-14	6.6107e-15
2.5259e+12	2.7533e-14	6.3746e-15
2.5764e+12	2.301e-14	6.3512e-15
2.6269e+12	1.8222e-14	6.6445e-15
2.6774e+12	1.7249e-14	7.1021e-15
2.728e+12	2.1617e-14	7.4564e-15
2.7785e+12	2.8308e-14	7.54e-15
2.829e+12	3.2795e-14	7.3823e-15
2.8795e+12	3.3537e-14	7.1502e-15
2.93e+12	3.2544e-14	7.0226e-15
2.9806e+12	3.1909e-14	7.096e-15
3.0311e+12	3.136e-14	7.3511e-15
3.0816e+12	2.9978e-14	7.6809e-15
