#Error on normalization	O = 3.012 %	H = 2.070 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	2.3268e-15	1.3787e-15
2.1119e+11	8.6985e-16	1.2327e-15
4.2239e+11	-1.413e-15	1.019e-15
6.3358e+11	-1.1867e-15	1.1031e-15
8.4477e+11	1.4184e-15	1.4811e-15
1.056e+12	2.9233e-15	1.7566e-15
1.2672e+12	1.4148e-15	1.6449e-15
1.4784e+12	-5.4771e-16	1.3454e-15
1.6895e+12	6.869e-16	1.2925e-15
1.9007e+12	4.6038e-15	1.6155e-15
2.1119e+12	6.829e-15	2.0135e-15
2.3231e+12	5.2409e-15	2.1928e-15
2.5343e+12	3.9369e-15	2.2706e-15
2.7455e+12	9.1011e-15	2.6049e-15
2.9567e+12	2.1099e-14	3.2763e-15
3.1679e+12	3.2593e-14	3.9122e-15
3.3791e+12	3.5693e-14	4.0926e-15
3.5903e+12	3.0189e-14	3.833e-15
3.8015e+12	2.3487e-14	3.5549e-15
4.0127e+12	2.2673e-14	3.6158e-15
4.2239e+12	2.8095e-14	3.9867e-15
4.4351e+12	3.5149e-14	4.4093e-15
4.6463e+12	4.0675e-14	4.7398e-15
4.8574e+12	4.5665e-14	5.0293e-15
5.0686e+12	5.1919e-14	5.3309e-15
5.2798e+12	5.8438e-14	5.5868e-15
5.491e+12	6.291e-14	5.7556e-15
5.7022e+12	6.5962e-14	5.936e-15
5.9134e+12	7.1662e-14	6.2486e-15
6.1246e+12	8.2695e-14	6.6353e-15
6.3358e+12	9.603e-14	6.9035e-15
6.547e+12	1.0481e-13	6.9897e-15
6.7582e+12	1.0463e-13	7.057e-15
6.9694e+12	9.7136e-14	7.2391e-15
7.1806e+12	8.7341e-14	7.3689e-15
7.3918e+12	7.8521e-14	7.1241e-15
7.603e+12	7.0625e-14	6.4696e-15
7.8141e+12	6.2796e-14	5.811e-15
8.0253e+12	5.5717e-14	5.5889e-15
8.2365e+12	5.0947e-14	5.7889e-15
8.4477e+12	4.9157e-14	6.0108e-15
8.6589e+12	5.0228e-14	6.0296e-15
8.8701e+12	5.4522e-14	6.1064e-15
9.0813e+12	6.2316e-14	6.6056e-15
9.2925e+12	7.1442e-14	7.4082e-15
9.5037e+12	7.7117e-14	7.9414e-15
9.7149e+12	7.6154e-14	7.8635e-15
9.9261e+12	7.1515e-14	7.5362e-15
1.0137e+13	7.0849e-14	7.6177e-15
1.0348e+13	7.8908e-14	8.2336e-15
1.056e+13	9.1628e-14	8.7745e-15
1.0771e+13	9.9092e-14	8.6177e-15
1.0982e+13	9.4946e-14	7.8939e-15
1.1193e+13	8.232e-14	7.341e-15
1.1404e+13	7.0061e-14	7.4378e-15
1.1616e+13	6.3934e-14	7.9053e-15
1.1827e+13	6.2569e-14	8.1619e-15
1.2038e+13	6.1553e-14	8.0853e-15
1.2249e+13	5.9468e-14	8.0838e-15
1.246e+13	5.8456e-14	8.4495e-15
1.2672e+13	5.9792e-14	8.9264e-15
1.2883e+13	6.1303e-14	9.0908e-15
1.3094e+13	6.0356e-14	8.9891e-15
1.3305e+13	5.8175e-14	9.0945e-15
1.3516e+13	5.9088e-14	9.589e-15
1.3728e+13	6.4927e-14	9.9742e-15
1.3939e+13	7.1523e-14	9.6493e-15
1.415e+13	7.2213e-14	8.7871e-15
1.4361e+13	6.4855e-14	8.3291e-15
1.4572e+13	5.4352e-14	8.9721e-15
1.4784e+13	4.7791e-14	1.0335e-14
1.4995e+13	4.7639e-14	1.1351e-14
1.5206e+13	5.0261e-14	1.1433e-14
1.5417e+13	5.0567e-14	1.1032e-14
1.5628e+13	4.7025e-14	1.0958e-14
1.5839e+13	4.1925e-14	1.1395e-14
1.6051e+13	3.7879e-14	1.1818e-14
1.6262e+13	3.5278e-14	1.18e-14
1.6473e+13	3.3053e-14	1.1601e-14
1.6684e+13	3.0659e-14	1.1782e-14
1.6895e+13	2.8392e-14	1.2435e-14
1.7107e+13	2.6218e-14	1.3089e-14
1.7318e+13	2.341e-14	1.3342e-14
1.7529e+13	1.976e-14	1.3332e-14
1.774e+13	1.652e-14	1.342e-14
1.7951e+13	1.5337e-14	1.3616e-14
1.8163e+13	1.6267e-14	1.3632e-14
1.8374e+13	1.7416e-14	1.3497e-14
1.8585e+13	1.6862e-14	1.3766e-14
1.8796e+13	1.4652e-14	1.4862e-14
1.9007e+13	1.253e-14	1.6357e-14
1.9219e+13	1.1857e-14	1.7274e-14
1.943e+13	1.2258e-14	1.7216e-14
1.9641e+13	1.2421e-14	1.6922e-14
1.9852e+13	1.1793e-14	1.7417e-14
2.0063e+13	1.1025e-14	1.8724e-14
2.0275e+13	1.0828e-14	1.9771e-14
2.0486e+13	1.0931e-14	1.9743e-14
2.0697e+13	1.0471e-14	1.923e-14
2.0908e+13	9.1853e-15	1.9682e-14
2.1119e+13	7.7972e-15	2.1683e-14
2.1331e+13	7.1498e-15	2.4108e-14
2.1542e+13	7.2387e-15	2.522e-14
2.1753e+13	7.338e-15	2.4484e-14
2.1964e+13	6.9566e-15	2.2996e-14
2.2175e+13	6.3833e-15	2.2122e-14
2.2386e+13	6.214e-15	2.2033e-14
2.2598e+13	6.5488e-15	2.1853e-14
2.2809e+13	6.8634e-15	2.108e-14
2.302e+13	6.6376e-15	2.0409e-14
2.3231e+13	5.9262e-15	2.0901e-14
2.3442e+13	5.2357e-15	2.253e-14
2.3654e+13	4.9471e-15	2.3918e-14
2.3865e+13	4.9874e-15	2.3668e-14
2.4076e+13	5.0445e-15	2.1839e-14
2.4287e+13	4.9713e-15	1.9968e-14
2.4498e+13	4.8961e-15	1.9661e-14
2.471e+13	4.9788e-15	2.1211e-14
2.4921e+13	5.1552e-15	2.3502e-14
2.5132e+13	5.1684e-15	2.5047e-14
2.5343e+13	4.8381e-15	2.5087e-14
2.5554e+13	4.269e-15	2.3917e-14
2.5766e+13	3.7769e-15	2.2451e-14
2.5977e+13	3.6011e-15	2.1542e-14
2.6188e+13	3.6872e-15	2.1462e-14
2.6399e+13	3.7639e-15	2.1812e-14
2.661e+13	3.6384e-15	2.1868e-14
2.6822e+13	3.3925e-15	2.119e-14
2.7033e+13	3.2591e-15	2.0003e-14
2.7244e+13	3.3188e-15	1.8998e-14
2.7455e+13	3.3879e-15	1.8711e-14
2.7666e+13	3.2481e-15	1.9094e-14
2.7878e+13	2.9384e-15	1.9688e-14
2.8089e+13	2.7237e-15	2.0121e-14
2.83e+13	2.7557e-15	2.0356e-14
2.8511e+13	2.8622e-15	2.0471e-14
2.8722e+13	2.7646e-15	2.0388e-14
2.8933e+13	2.4672e-15	1.9961e-14
2.9145e+13	2.2952e-15	1.927e-14
2.9356e+13	2.4872e-15	1.8656e-14
2.9567e+13	2.8489e-15	1.839e-14
2.9778e+13	2.9435e-15	1.8376e-14
2.9989e+13	2.6225e-15	1.8303e-14
3.0201e+13	2.2287e-15	1.8039e-14
3.0412e+13	2.1881e-15	1.7754e-14
3.0623e+13	2.4869e-15	1.7624e-14
3.0834e+13	2.6938e-15	1.7556e-14
3.1045e+13	2.5045e-15	1.7325e-14
3.1257e+13	2.1163e-15	1.6929e-14
3.1468e+13	1.961e-15	1.663e-14
3.1679e+13	2.1512e-15	1.6603e-14
3.189e+13	2.3556e-15	1.6672e-14
3.2101e+13	2.2483e-15	1.6546e-14
3.2313e+13	1.9319e-15	1.6271e-14
3.2524e+13	1.7867e-15	1.6241e-14
3.2735e+13	1.9624e-15	1.6684e-14
3.2946e+13	2.188e-15	1.7257e-14
3.3157e+13	2.134e-15	1.7339e-14
3.3369e+13	1.8341e-15	1.6723e-14
3.358e+13	1.6168e-15	1.5873e-14
3.3791e+13	1.6684e-15	1.5405e-14
3.4002e+13	1.8199e-15	1.5415e-14
3.4213e+13	1.8175e-15	1.5453e-14
3.4424e+13	1.6748e-15	1.5138e-14
3.4636e+13	1.6238e-15	1.4608e-14
3.4847e+13	1.758e-15	1.4298e-14
3.5058e+13	1.8876e-15	1.4374e-14
3.5269e+13	1.8128e-15	1.4576e-14
3.548e+13	1.6257e-15	1.4596e-14
3.5692e+13	1.6008e-15	1.4427e-14
3.5903e+13	1.8114e-15	1.4245e-14
3.6114e+13	2.0013e-15	1.4077e-14
3.6325e+13	1.9077e-15	1.3785e-14
3.6536e+13	1.6102e-15	1.3388e-14
3.6748e+13	1.4349e-15	1.3183e-14
3.6959e+13	1.536e-15	1.3402e-14
3.717e+13	1.7088e-15	1.3825e-14
3.7381e+13	1.678e-15	1.3939e-14
3.7592e+13	1.4661e-15	1.3537e-14
3.7804e+13	1.3496e-15	1.3006e-14
3.8015e+13	1.4736e-15	1.2881e-14
3.8226e+13	1.6533e-15	1.3211e-14
3.8437e+13	1.6256e-15	1.3511e-14
3.8648e+13	1.4033e-15	1.3369e-14
3.886e+13	1.2518e-15	1.2909e-14
3.9071e+13	1.3293e-15	1.2541e-14
3.9282e+13	1.483e-15	1.2368e-14
3.9493e+13	1.471e-15	1.2098e-14
3.9704e+13	1.2961e-15	1.1563e-14
