#Error on normalization	O = -0.080 %	H = 3.466 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	2.4694e-16	1.8743e-17
1.0661e+11	1.0284e-16	7.1091e-18
2.1322e+11	-1.117e-16	-1.0352e-17
3.1983e+11	-7.5327e-17	-7.4524e-18
4.2644e+11	1.4413e-16	1.1385e-17
5.3305e+11	1.8916e-16	1.7672e-17
6.3966e+11	-3.3885e-17	2.1082e-18
7.4627e+11	-1.8844e-16	-1.0291e-17
8.5288e+11	-8.8982e-18	2.6792e-18
9.5949e+11	2.6865e-16	2.5471e-17
1.0661e+12	2.2447e-16	2.5715e-17
1.1727e+12	-1.0771e-16	2.6082e-18
1.2793e+12	-2.4342e-16	-9.1681e-18
1.3859e+12	5.2786e-17	1.0961e-17
1.4925e+12	3.7929e-16	3.7674e-17
1.5991e+12	2.4839e-16	3.4982e-17
1.7058e+12	-1.7134e-16	9.8649e-18
1.8124e+12	-2.3767e-16	4.4194e-18
1.919e+12	2.3307e-16	3.3701e-17
2.0256e+12	6.2043e-16	5.9485e-17
2.1322e+12	3.3834e-16	4.3661e-17
2.2388e+12	-2.6776e-16	7.9747e-18
2.3454e+12	-3.1439e-16	9.4378e-18
2.452e+12	3.6394e-16	5.867e-17
2.5586e+12	8.6883e-16	9.784e-17
2.6652e+12	4.3421e-16	7.8634e-17
2.7719e+12	-4.1854e-16	3.5208e-17
2.8785e+12	-4.83e-16	4.2139e-17
2.9851e+12	4.4439e-16	1.0605e-16
3.0917e+12	1.1474e-15	1.4484e-16
3.1983e+12	6.1949e-16	9.8013e-17
3.3049e+12	-4.0367e-16	2.2605e-17
3.4115e+12	-2.9499e-16	3.0146e-17
3.5181e+12	1.1439e-15	1.3324e-16
3.6247e+12	2.1103e-15	2.1192e-16
3.7313e+12	1.1219e-15	1.6564e-16
3.838e+12	-6.7638e-16	5.9446e-17
3.9446e+12	-5.8177e-16	5.6384e-17
4.0512e+12	2.1911e-15	2.0635e-16
4.1578e+12	5.2448e-15	3.7441e-16
4.2644e+12	6.2192e-15	4.3152e-16
4.371e+12	6.7817e-15	4.7442e-16
4.4776e+12	1.1786e-14	7.5959e-16
4.5842e+12	2.3445e-14	1.3771e-15
4.6908e+12	3.6994e-14	2.046e-15
4.7974e+12	4.3609e-14	2.3158e-15
4.9041e+12	3.8372e-14	1.9911e-15
5.0107e+12	2.5001e-14	1.3197e-15
5.1173e+12	1.2292e-14	7.4265e-16
5.2239e+12	6.1737e-15	4.9279e-16
5.3305e+12	5.6657e-15	4.6774e-16
5.4371e+12	6.0566e-15	4.5162e-16
5.5437e+12	4.6419e-15	3.7366e-16
5.6503e+12	2.5851e-15	3.1736e-16
5.7569e+12	2.0136e-15	3.4314e-16
5.8635e+12	2.9085e-15	3.9261e-16
5.9701e+12	3.4916e-15	3.8116e-16
6.0768e+12	2.8348e-15	3.2136e-16
6.1834e+12	2.0338e-15	3.0629e-16
6.29e+12	2.8295e-15	3.9496e-16
6.3966e+12	5.861e-15	5.6262e-16
6.5032e+12	1.0503e-14	7.5806e-16
6.6098e+12	1.5638e-14	9.535e-16
6.7164e+12	1.9839e-14	1.1114e-15
6.823e+12	2.1222e-14	1.1503e-15
6.9296e+12	1.8356e-14	1.0087e-15
7.0362e+12	1.1993e-14	7.4666e-16
7.1429e+12	5.3547e-15	5.2804e-16
7.2495e+12	1.7929e-15	4.6779e-16
7.3561e+12	1.9555e-15	5.2478e-16
7.4627e+12	3.6781e-15	5.8307e-16
7.5693e+12	4.7327e-15	6.1604e-16
7.6759e+12	5.0827e-15	7.0678e-16
7.7825e+12	6.0232e-15	8.9166e-16
7.8891e+12	7.7014e-15	1.0529e-15
7.9957e+12	8.6114e-15	1.0431e-15
8.1023e+12	7.898e-15	9.0843e-16
8.209e+12	7.3396e-15	9.0768e-16
8.3156e+12	1.0054e-14	1.2571e-15
8.4222e+12	1.7133e-14	1.8846e-15
8.5288e+12	2.6153e-14	2.4878e-15
8.6354e+12	3.3249e-14	2.8274e-15
8.742e+12	3.6269e-14	2.9091e-15
8.8486e+12	3.5668e-14	2.8706e-15
8.9552e+12	3.3009e-14	2.7699e-15
9.0618e+12	2.9567e-14	2.5627e-15
9.1684e+12	2.6436e-14	2.2665e-15
9.2751e+12	2.4914e-14	2.0416e-15
9.3817e+12	2.5918e-14	2.0541e-15
9.4883e+12	2.9396e-14	2.3138e-15
9.5949e+12	3.5253e-14	2.7277e-15
9.7015e+12	4.4731e-14	3.2918e-15
9.8081e+12	5.9489e-14	4.1136e-15
9.9147e+12	7.8302e-14	5.1758e-15
1.0021e+13	9.5518e-14	6.1526e-15
1.0128e+13	1.0476e-13	6.6028e-15
1.0235e+13	1.0505e-13	6.3969e-15
1.0341e+13	1.022e-13	5.8787e-15
1.0448e+13	1.0256e-13	5.5206e-15
1.0554e+13	1.055e-13	5.443e-15
1.0661e+13	1.038e-13	5.3571e-15
1.0768e+13	9.2413e-14	4.9959e-15
1.0874e+13	7.6046e-14	4.4958e-15
1.0981e+13	6.595e-14	4.2508e-15
1.1087e+13	6.8514e-14	4.4157e-15
1.1194e+13	7.7998e-14	4.6699e-15
1.1301e+13	8.1756e-14	4.5409e-15
1.1407e+13	7.2539e-14	3.9032e-15
1.1514e+13	5.4847e-14	3.0788e-15
1.162e+13	3.9339e-14	2.4643e-15
1.1727e+13	3.2436e-14	2.1583e-15
1.1834e+13	3.2215e-14	1.9974e-15
1.194e+13	3.3221e-14	1.8598e-15
1.2047e+13	3.2817e-14	1.8016e-15
1.2154e+13	3.1897e-14	1.883e-15
1.226e+13	3.1159e-14	1.9881e-15
1.2367e+13	2.9284e-14	1.9353e-15
1.2473e+13	2.5448e-14	1.74e-15
1.258e+13	2.1813e-14	1.6461e-15
1.2687e+13	2.1579e-14	1.8305e-15
