#Error on normalization	O = 15.420 %	H = -4.549 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.4782e-15	2.2463e-16
1.5873e+11	-4.0232e-16	3.5366e-17
3.1746e+11	-1.6899e-15	-4.7224e-17
4.7619e+11	3.1136e-15	1.6569e-16
6.3492e+11	1.2187e-15	9.2424e-17
7.9365e+11	-2.348e-15	-6.9795e-17
9.5238e+11	2.1567e-15	1.2769e-16
1.1111e+12	2.9758e-15	1.7468e-16
1.2698e+12	-2.1431e-15	-5.4237e-17
1.4286e+12	5.4244e-16	5.4715e-17
1.5873e+12	4.1384e-15	2.2272e-16
1.746e+12	-1.0189e-15	1.7228e-18
1.9048e+12	-8.0958e-16	3.8602e-18
2.0635e+12	5.3262e-15	2.8282e-16
2.2222e+12	1.3493e-15	1.1671e-16
2.381e+12	-1.9747e-15	-4.0458e-17
2.5397e+12	7.2345e-15	3.8136e-16
2.6984e+12	1.1303e-14	6.1273e-16
2.8571e+12	1.0366e-14	6.0537e-16
3.0159e+12	1.9185e-14	1.0039e-15
3.1746e+12	1.6376e-14	8.7857e-16
3.3333e+12	3.1312e-15	3.3285e-16
3.4921e+12	3.8054e-14	2.1223e-15
3.6508e+12	1.0589e-13	5.5026e-15
3.8095e+12	1.0156e-13	5.327e-15
3.9683e+12	2.5373e-14	1.4762e-15
4.127e+12	-9.9031e-15	-4.2164e-16
4.2857e+12	1.0355e-14	6.0616e-16
4.4444e+12	1.1878e-14	7.9205e-16
4.6032e+12	1.3119e-15	2.3915e-16
4.7619e+12	1.5133e-14	9.0754e-16
4.9206e+12	1.8704e-14	1.2055e-15
5.0794e+12	1.2392e-14	9.48e-16
5.2381e+12	5.7854e-14	3.2023e-15
5.3968e+12	1.1929e-13	6.3927e-15
5.5556e+12	9.792e-14	5.4381e-15
5.7143e+12	2.6818e-14	1.7475e-15
5.873e+12	9.3772e-15	6.9658e-16
6.0317e+12	3.5077e-14	2.0599e-15
6.1905e+12	5.4812e-14	3.3608e-15
6.3492e+12	1.0807e-13	6.3631e-15
6.5079e+12	2.0635e-13	1.1365e-14
6.6667e+12	2.4886e-13	1.3257e-14
6.8254e+12	1.8788e-13	1.0011e-14
6.9841e+12	1.2298e-13	6.6644e-15
7.1429e+12	1.3683e-13	6.7486e-15
7.3016e+12	1.7701e-13	7.6471e-15
7.4603e+12	1.673e-13	6.6552e-15
7.619e+12	1.1902e-13	4.842e-15
7.7778e+12	7.8777e-14	3.6349e-15
7.9365e+12	5.3457e-14	2.6159e-15
8.0952e+12	3.1875e-14	1.5033e-15
