#Error on normalization	O = -3.785 %	H = 2.229 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-3.4177e-15	-6.2631e-16
2.6738e+11	-2.1049e-15	-3.7724e-16
5.3476e+11	8.6174e-16	1.7207e-16
8.0214e+11	3.2625e-15	5.8446e-16
1.0695e+12	3.2367e-15	5.2992e-16
1.3369e+12	6.8158e-16	4.9198e-17
1.6043e+12	-2.5709e-15	-4.7407e-16
1.8717e+12	-3.9995e-15	-6.1344e-16
2.139e+12	-2.2577e-15	-2.3827e-16
2.4064e+12	1.6613e-15	3.7498e-16
2.6738e+12	4.8995e-15	7.5021e-16
2.9412e+12	4.6925e-15	5.8125e-16
3.2086e+12	5.5293e-16	-2.0243e-17
3.4759e+12	-4.9087e-15	-5.9212e-16
3.7433e+12	-7.3235e-15	-6.5762e-16
4.0107e+12	-3.3983e-15	-7.8934e-17
4.2781e+12	6.5812e-15	8.3594e-16
4.5455e+12	1.8389e-14	1.5507e-15
4.8128e+12	2.613e-14	1.6779e-15
5.0802e+12	2.5838e-14	1.2364e-15
5.3476e+12	1.8047e-14	6.0782e-16
5.615e+12	7.5464e-15	2.3791e-16
5.8824e+12	3.6046e-16	3.1707e-16
6.1497e+12	-6.8973e-17	6.7569e-16
6.4171e+12	5.0941e-15	9.5727e-16
6.6845e+12	1.1227e-14	9.1942e-16
6.9519e+12	1.3716e-14	6.2431e-16
7.2193e+12	1.1244e-14	3.7676e-16
7.4866e+12	6.5073e-15	4.6902e-16
7.754e+12	3.9139e-15	9.3908e-16
8.0214e+12	6.0588e-15	1.5328e-15
8.2888e+12	1.1749e-14	1.8995e-15
8.5561e+12	1.7195e-14	1.8702e-15
8.8235e+12	1.9541e-14	1.6095e-15
9.0909e+12	1.9944e-14	1.5254e-15
9.3583e+12	2.3574e-14	2.0001e-15
9.6257e+12	3.6066e-14	3.1285e-15
9.893e+12	5.8731e-14	4.6367e-15
1.016e+13	8.6043e-14	6.0212e-15
1.0428e+13	1.0762e-13	6.8075e-15
1.0695e+13	1.1384e-13	6.766e-15
1.0963e+13	1.0161e-13	5.9778e-15
1.123e+13	7.6535e-14	4.7503e-15
1.1497e+13	4.9861e-14	3.4658e-15
1.1765e+13	3.2196e-14	2.4491e-15
1.2032e+13	2.7908e-14	1.8929e-15
1.2299e+13	3.3624e-14	1.8323e-15
1.2567e+13	4.1417e-14	2.1498e-15
1.2834e+13	4.4209e-14	2.6117e-15
1.3102e+13	3.9768e-14	2.9496e-15
1.3369e+13	3.0989e-14	2.9732e-15
1.3636e+13	2.2904e-14	2.6639e-15
1.3904e+13	1.8952e-14	2.1834e-15
1.4171e+13	1.9157e-14	1.7749e-15
1.4439e+13	2.107e-14	1.6098e-15
1.4706e+13	2.2201e-14	1.681e-15
1.4973e+13	2.1827e-14	1.821e-15
1.5241e+13	2.0896e-14	1.8345e-15
1.5508e+13	2.0533e-14	1.6512e-15
1.5775e+13	2.073e-14	1.3814e-15
1.6043e+13	2.0484e-14	1.2337e-15
1.631e+13	1.9175e-14	1.356e-15
1.6578e+13	1.7804e-14	1.723e-15
1.6845e+13	1.8718e-14	2.1559e-15
1.7112e+13	2.3782e-14	2.457e-15
1.738e+13	3.239e-14	2.5498e-15
