#Error on normalization	O = 3.358 %	H = 1.854 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	3.9246e-14	3.7324e-15
1.6086e+11	3.9208e-14	3.554e-15
3.2172e+11	3.6022e-14	3.8264e-15
4.8257e+11	2.9517e-14	4.7044e-15
6.4343e+11	2.9201e-14	5.0939e-15
8.0429e+11	3.9454e-14	5.6113e-15
9.6515e+11	4.9165e-14	6.934e-15
1.126e+12	4.9428e-14	7.2923e-15
1.2869e+12	4.7844e-14	6.4363e-15
1.4477e+12	5.1946e-14	6.8944e-15
1.6086e+12	5.6187e-14	8.4245e-15
1.7694e+12	5.7035e-14	8.4935e-15
1.9303e+12	5.9735e-14	8.0513e-15
2.0912e+12	6.3411e-14	9.0355e-15
2.252e+12	6.2442e-14	9.711e-15
2.4129e+12	6.0969e-14	9.0753e-15
2.5737e+12	6.3613e-14	9.4931e-15
2.7346e+12	6.38e-14	1.0923e-14
2.8954e+12	6.0507e-14	1.0571e-14
3.0563e+12	6.451e-14	9.1893e-15
3.2172e+12	7.4403e-14	9.6314e-15
3.378e+12	7.5731e-14	1.1068e-14
3.5389e+12	6.9715e-14	1.1248e-14
3.6997e+12	7.0333e-14	1.0786e-14
3.8606e+12	7.6115e-14	1.1074e-14
4.0214e+12	7.6473e-14	1.188e-14
4.1823e+12	7.467e-14	1.2394e-14
4.3432e+12	7.7708e-14	1.208e-14
4.504e+12	8.0681e-14	1.1384e-14
4.6649e+12	7.9493e-14	1.1659e-14
4.8257e+12	7.8092e-14	1.2503e-14
4.9866e+12	7.5412e-14	1.2075e-14
5.1475e+12	6.8595e-14	1.1323e-14
5.3083e+12	6.6361e-14	1.2386e-14
5.4692e+12	7.4577e-14	1.3446e-14
5.63e+12	8.0186e-14	1.2256e-14
5.7909e+12	7.3653e-14	1.1354e-14
5.9517e+12	6.8414e-14	1.2735e-14
6.1126e+12	7.5145e-14	1.3538e-14
6.2735e+12	8.1116e-14	1.2411e-14
6.4343e+12	7.5855e-14	1.2054e-14
6.5952e+12	6.9811e-14	1.2971e-14
6.756e+12	7.1122e-14	1.3276e-14
6.9169e+12	7.3032e-14	1.3636e-14
7.0777e+12	7.362e-14	1.4829e-14
7.2386e+12	7.7684e-14	1.4835e-14
7.3995e+12	7.9063e-14	1.3563e-14
7.5603e+12	7.1405e-14	1.3658e-14
7.7212e+12	6.5984e-14	1.4634e-14
7.882e+12	7.025e-14	1.3971e-14
8.0429e+12	7.0092e-14	1.2846e-14
8.2038e+12	5.8685e-14	1.3435e-14
8.3646e+12	5.3069e-14	1.4305e-14
8.5255e+12	6.2321e-14	1.407e-14
8.6863e+12	7.2591e-14	1.4297e-14
8.8472e+12	7.4271e-14	1.5475e-14
9.008e+12	7.1742e-14	1.586e-14
9.1689e+12	6.7234e-14	1.5437e-14
9.3298e+12	6.2271e-14	1.5799e-14
9.4906e+12	6.2834e-14	1.6594e-14
9.6515e+12	6.5275e-14	1.6348e-14
9.8123e+12	5.9682e-14	1.5652e-14
9.9732e+12	5.3202e-14	1.6156e-14
1.0134e+13	5.9051e-14	1.7289e-14
1.0295e+13	6.7042e-14	1.6954e-14
1.0456e+13	6.0356e-14	1.5423e-14
1.0617e+13	4.8825e-14	1.5449e-14
1.0777e+13	5.0505e-14	1.7436e-14
1.0938e+13	5.8361e-14	1.8239e-14
1.1099e+13	5.6978e-14	1.666e-14
1.126e+13	5.1573e-14	1.5684e-14
1.1421e+13	5.301e-14	1.7048e-14
1.1582e+13	5.467e-14	1.8402e-14
1.1743e+13	4.7716e-14	1.7778e-14
1.1903e+13	4.0829e-14	1.6367e-14
1.2064e+13	4.427e-14	1.5922e-14
1.2225e+13	5.0329e-14	1.686e-14
1.2386e+13	4.8205e-14	1.8661e-14
1.2547e+13	4.3663e-14	1.9965e-14
1.2708e+13	4.5853e-14	1.9521e-14
1.2869e+13	4.884e-14	1.7888e-14
1.3029e+13	4.3976e-14	1.6769e-14
1.319e+13	3.6325e-14	1.701e-14
1.3351e+13	3.3234e-14	1.8231e-14
1.3512e+13	3.1727e-14	1.9346e-14
1.3673e+13	2.8918e-14	1.9331e-14
1.3834e+13	2.8773e-14	1.8578e-14
1.3995e+13	3.1533e-14	1.8428e-14
1.4155e+13	3.1957e-14	1.885e-14
1.4316e+13	2.9631e-14	1.8731e-14
1.4477e+13	2.8061e-14	1.8352e-14
1.4638e+13	2.7193e-14	1.8827e-14
1.4799e+13	2.6017e-14	1.9703e-14
1.496e+13	2.5623e-14	1.9708e-14
1.5121e+13	2.5286e-14	1.9008e-14
1.5282e+13	2.3339e-14	1.8734e-14
1.5442e+13	2.1337e-14	1.9054e-14
1.5603e+13	2.0854e-14	1.9119e-14
1.5764e+13	2.0561e-14	1.8661e-14
1.5925e+13	1.9857e-14	1.8476e-14
1.6086e+13	1.9194e-14	1.8762e-14
1.6247e+13	1.7516e-14	1.848e-14
1.6408e+13	1.529e-14	1.7677e-14
1.6568e+13	1.5455e-14	1.8092e-14
1.6729e+13	1.7307e-14	1.9681e-14
1.689e+13	1.6816e-14	2.0069e-14
1.7051e+13	1.4209e-14	1.9025e-14
1.7212e+13	1.2856e-14	1.8889e-14
1.7373e+13	1.2407e-14	1.9743e-14
1.7534e+13	1.0938e-14	1.9493e-14
1.7694e+13	9.8789e-15	1.8387e-14
1.7855e+13	1.0502e-14	1.8203e-14
1.8016e+13	1.0735e-14	1.8572e-14
1.8177e+13	9.5334e-15	1.8407e-14
1.8338e+13	8.8727e-15	1.8204e-14
1.8499e+13	9.3784e-15	1.8245e-14
1.866e+13	9.2896e-15	1.7911e-14
1.882e+13	8.4038e-15	1.7696e-14
1.8981e+13	8.2656e-15	1.8491e-14
1.9142e+13	8.6245e-15	1.9449e-14
1.9303e+13	8.0059e-15	1.9359e-14
1.9464e+13	7.0468e-15	1.8582e-14
1.9625e+13	7.2385e-15	1.7982e-14
1.9786e+13	7.6978e-15	1.7759e-14
1.9946e+13	7.007e-15	1.7929e-14
2.0107e+13	6.1057e-15	1.8588e-14
2.0268e+13	5.9709e-15	1.9676e-14
2.0429e+13	5.636e-15	2.0693e-14
2.059e+13	4.9942e-15	2.0489e-14
2.0751e+13	5.2987e-15	1.8622e-14
2.0912e+13	5.8538e-15	1.6939e-14
2.1072e+13	5.1347e-15	1.7355e-14
2.1233e+13	4.3701e-15	1.8643e-14
2.1394e+13	5.0926e-15	1.8588e-14
2.1555e+13	5.7561e-15	1.7718e-14
2.1716e+13	4.9185e-15	1.7476e-14
2.1877e+13	3.9677e-15	1.7327e-14
2.2038e+13	4.0428e-15	1.6861e-14
2.2198e+13	4.3252e-15	1.7351e-14
2.2359e+13	4.2557e-15	1.8615e-14
2.252e+13	4.0839e-15	1.839e-14
2.2681e+13	3.8129e-15	1.6608e-14
2.2842e+13	3.5067e-15	1.5808e-14
2.3003e+13	3.3556e-15	1.6448e-14
2.3164e+13	3.2351e-15	1.6684e-14
2.3324e+13	3.2188e-15	1.6649e-14
2.3485e+13	3.4148e-15	1.7639e-14
2.3646e+13	3.3461e-15	1.8175e-14
2.3807e+13	3.0357e-15	1.6543e-14
2.3968e+13	3.2126e-15	1.5118e-14
2.4129e+13	3.5013e-15	1.6362e-14
2.429e+13	3.0727e-15	1.7794e-14
2.445e+13	2.6345e-15	1.6658e-14
2.4611e+13	2.8227e-15	1.5243e-14
2.4772e+13	2.7851e-15	1.6151e-14
2.4933e+13	2.4708e-15	1.7324e-14
2.5094e+13	2.7592e-15	1.6435e-14
2.5255e+13	2.9837e-15	1.5049e-14
2.5416e+13	2.3852e-15	1.4991e-14
2.5576e+13	2.1699e-15	1.5327e-14
2.5737e+13	2.7642e-15	1.503e-14
2.5898e+13	2.7701e-15	1.4834e-14
2.6059e+13	2.2463e-15	1.5485e-14
2.622e+13	2.3438e-15	1.6423e-14
2.6381e+13	2.4154e-15	1.6397e-14
2.6542e+13	1.8443e-15	1.4958e-14
2.6702e+13	1.8162e-15	1.3484e-14
2.6863e+13	2.4247e-15	1.3616e-14
2.7024e+13	2.3082e-15	1.4659e-14
2.7185e+13	1.798e-15	1.4666e-14
2.7346e+13	1.9944e-15	1.36e-14
2.7507e+13	2.2615e-15	1.2984e-14
2.7668e+13	1.9812e-15	1.3314e-14
2.7828e+13	1.8136e-15	1.3828e-14
2.7989e+13	1.8262e-15	1.3855e-14
2.815e+13	1.6478e-15	1.3453e-14
2.8311e+13	1.7273e-15	1.3292e-14
2.8472e+13	2.03e-15	1.3601e-14
2.8633e+13	1.8224e-15	1.3475e-14
2.8794e+13	1.4988e-15	1.2569e-14
2.8954e+13	1.7222e-15	1.2129e-14
2.9115e+13	1.8435e-15	1.257e-14
2.9276e+13	1.5188e-15	1.2477e-14
2.9437e+13	1.4679e-15	1.1548e-14
2.9598e+13	1.6671e-15	1.1309e-14
2.9759e+13	1.5851e-15	1.2074e-14
2.992e+13	1.5276e-15	1.2531e-14
3.008e+13	1.6348e-15	1.2304e-14
3.0241e+13	1.4726e-15	1.214e-14
3.0402e+13	1.3051e-15	1.2311e-14
3.0563e+13	1.472e-15	1.2461e-14
3.0724e+13	1.4591e-15	1.2158e-14
3.0885e+13	1.2531e-15	1.1396e-14
3.1046e+13	1.4418e-15	1.0995e-14
3.1206e+13	1.6565e-15	1.1388e-14
3.1367e+13	1.4289e-15	1.1495e-14
3.1528e+13	1.3396e-15	1.0643e-14
3.1689e+13	1.496e-15	9.9444e-15
3.185e+13	1.3103e-15	9.9843e-15
3.2011e+13	1.1665e-15	9.9038e-15
3.2172e+13	1.5116e-15	9.7978e-15
3.2332e+13	1.576e-15	1.0561e-14
3.2493e+13	1.1552e-15	1.1418e-14
3.2654e+13	1.1e-15	1.1066e-14
3.2815e+13	1.2822e-15	1.011e-14
3.2976e+13	1.0838e-15	9.6749e-15
3.3137e+13	9.9935e-16	9.6448e-15
3.3298e+13	1.29e-15	9.7649e-15
3.3458e+13	1.2678e-15	1.0122e-14
3.3619e+13	1.0265e-15	1.0254e-14
3.378e+13	1.1423e-15	9.7827e-15
3.3941e+13	1.2164e-15	9.1666e-15
3.4102e+13	1.0161e-15	8.7334e-15
3.4263e+13	1.1073e-15	8.3969e-15
