#Error on normalization	O = -0.506 %	H = 3.808 %
#Frequence (s-1)	S_O (s)	S_H (s)
0	-6.3109e-16	6.5809e-16
7.3368e+10	2.8447e-16	8.9015e-16
1.4674e+11	6.749e-16	1.0975e-15
2.201e+11	-3.7831e-16	9.7853e-16
2.9347e+11	6.5552e-17	1.0303e-15
3.6684e+11	1.1163e-15	1.2233e-15
4.4021e+11	2.6165e-16	1.1543e-15
5.1357e+11	-1.001e-16	1.1089e-15
5.8694e+11	1.2522e-15	1.2436e-15
6.6031e+11	1.2875e-15	1.1583e-15
7.3368e+11	5.2703e-16	1.0547e-15
8.0704e+11	1.5437e-15	1.3424e-15
8.8041e+11	2.2676e-15	1.5513e-15
9.5378e+11	1.577e-15	1.4127e-15
1.0271e+12	2.3525e-15	1.4594e-15
1.1005e+12	3.7728e-15	1.6433e-15
1.1739e+12	3.2587e-15	1.5326e-15
1.2472e+12	3.3979e-15	1.5392e-15
1.3206e+12	5.2252e-15	1.8964e-15
1.394e+12	4.9431e-15	1.9692e-15
1.4674e+12	3.7425e-15	1.7924e-15
1.5407e+12	5.6623e-15	1.9799e-15
1.6141e+12	7.4214e-15	2.1958e-15
1.6875e+12	6.2461e-15	2.0606e-15
1.7608e+12	7.3946e-15	2.127e-15
1.8342e+12	1.1589e-14	2.3839e-15
1.9076e+12	1.1976e-14	2.2463e-15
1.9809e+12	9.483e-15	2.2418e-15
2.0543e+12	1.1465e-14	2.8744e-15
2.1277e+12	1.6405e-14	3.1476e-15
2.201e+12	1.8602e-14	2.6943e-15
2.2744e+12	2.1237e-14	2.7966e-15
2.3478e+12	2.9366e-14	3.7276e-15
2.4211e+12	3.8072e-14	4.2202e-15
2.4945e+12	3.9293e-14	4.0024e-15
2.5679e+12	3.517e-14	3.977e-15
2.6412e+12	3.4724e-14	4.3588e-15
2.7146e+12	3.7374e-14	4.5478e-15
2.788e+12	3.2297e-14	4.0974e-15
2.8613e+12	2.0488e-14	3.2946e-15
2.9347e+12	1.8563e-14	3.1484e-15
3.0081e+12	2.9672e-14	4.0163e-15
3.0814e+12	3.6655e-14	4.7732e-15
3.1548e+12	3.4226e-14	4.74e-15
3.2282e+12	3.5369e-14	4.6749e-15
3.3015e+12	4.1517e-14	4.736e-15
3.3749e+12	4.1903e-14	4.3684e-15
3.4483e+12	3.8618e-14	4.3273e-15
3.5216e+12	4.1366e-14	5.3431e-15
3.595e+12	4.8909e-14	6.0767e-15
3.6684e+12	5.4067e-14	5.5646e-15
3.7417e+12	5.2514e-14	5.0608e-15
3.8151e+12	4.6704e-14	5.4129e-15
3.8885e+12	5.0245e-14	5.9311e-15
3.9618e+12	6.7256e-14	6.2421e-15
4.0352e+12	7.322e-14	6.2658e-15
4.1086e+12	5.5756e-14	5.7415e-15
4.182e+12	4.6594e-14	5.4801e-15
4.2553e+12	6.4396e-14	6.3668e-15
4.3287e+12	7.8184e-14	7.2777e-15
4.4021e+12	7.159e-14	7.0828e-15
4.4754e+12	6.9159e-14	6.6789e-15
4.5488e+12	7.3624e-14	6.7124e-15
4.6222e+12	6.4789e-14	6.6421e-15
4.6955e+12	5.7041e-14	6.7075e-15
4.7689e+12	7.1275e-14	7.2274e-15
4.8423e+12	8.6127e-14	7.4107e-15
4.9156e+12	8.574e-14	7.4147e-15
4.989e+12	8.9592e-14	8.1834e-15
5.0624e+12	9.8402e-14	8.7391e-15
5.1357e+12	9.5041e-14	8.123e-15
5.2091e+12	9.4382e-14	8.0061e-15
5.2825e+12	1.0747e-13	9.0618e-15
5.3558e+12	1.0628e-13	9.1564e-15
5.4292e+12	9.1854e-14	8.1121e-15
5.5026e+12	1.0561e-13	8.2575e-15
5.5759e+12	1.3406e-13	9.3214e-15
5.6493e+12	1.2269e-13	9.1014e-15
5.7227e+12	8.8559e-14	8.0231e-15
5.796e+12	8.8105e-14	7.7262e-15
5.8694e+12	1.0359e-13	7.8274e-15
5.9428e+12	8.6947e-14	7.4778e-15
6.0161e+12	6.005e-14	7.027e-15
6.0895e+12	6.495e-14	6.9326e-15
6.1629e+12	8.323e-14	7.2338e-15
6.2362e+12	8.2534e-14	7.5403e-15
6.3096e+12	7.3841e-14	7.164e-15
6.383e+12	7.4107e-14	6.6061e-15
6.4563e+12	7.3348e-14	7.1242e-15
6.5297e+12	6.4665e-14	7.9435e-15
6.6031e+12	6.0097e-14	7.4649e-15
6.6764e+12	6.5394e-14	6.6796e-15
6.7498e+12	7.0735e-14	7.1006e-15
6.8232e+12	6.9862e-14	7.7294e-15
6.8966e+12	6.712e-14	7.6435e-15
6.9699e+12	6.522e-14	7.5833e-15
7.0433e+12	6.319e-14	7.4179e-15
7.1167e+12	6.4823e-14	6.7704e-15
7.19e+12	7.141e-14	6.9719e-15
7.2634e+12	7.2606e-14	8.163e-15
7.3368e+12	6.4891e-14	8.2869e-15
